sample_id,stage,time_s,value,sample_role_cn
B_typical_B021_3,primary_processed,0.0,0.1996596555330086,典型样本
B_typical_B021_3,primary_processed,8.333333333333333e-05,-0.1775663184929654,典型样本
B_typical_B021_3,primary_processed,0.0001666666666666,-0.0263507340773809,典型样本
B_typical_B021_3,primary_processed,0.00025,0.2094154996888528,典型样本
B_typical_B021_3,primary_processed,0.0003333333333333,-0.0044000847267316,典型样本
B_typical_B021_3,primary_processed,0.0004166666666666,-0.1344780068046537,典型样本
B_typical_B021_3,primary_processed,0.0005,0.1403116035849567,典型样本
B_typical_B021_3,primary_processed,0.0005833333333333,0.0382817334550865,典型样本
B_typical_B021_3,primary_processed,0.0006666666666666,-0.2653689158955628,典型样本
B_typical_B021_3,primary_processed,0.00075,-0.0060260587527056,典型样本
B_typical_B021_3,primary_processed,0.0008333333333333,0.0943778373511904,典型样本
B_typical_B021_3,primary_processed,0.0009166666666666,-0.093828656155303,典型样本
B_typical_B021_3,primary_processed,0.001,-0.0836663184929653,典型样本
B_typical_B021_3,primary_processed,0.0010833333333333,0.2350245905979437,典型样本
B_typical_B021_3,primary_processed,0.0011666666666666,0.1508804347537879,典型样本
B_typical_B021_3,primary_processed,0.00125,-0.0385455392721861,典型样本
B_typical_B021_3,primary_processed,0.0013333333333333,0.160636278909632,典型样本
B_typical_B021_3,primary_processed,0.0014166666666666,0.2874622529356061,典型样本
B_typical_B021_3,primary_processed,0.0015,-0.1060234613501082,典型样本
B_typical_B021_3,primary_processed,0.0015833333333333,-0.2527676171942641,典型样本
B_typical_B021_3,primary_processed,0.0016666666666666,0.0151116035849567,典型样本
B_typical_B021_3,primary_processed,0.00175,-0.0909832016098484,典型样本
B_typical_B021_3,primary_processed,0.0018333333333333,-0.2003299548566017,典型样本
B_typical_B021_3,primary_processed,0.0019166666666666,0.1781154996888528,典型样本
B_typical_B021_3,primary_processed,0.002,0.0834025126758658,典型样本
B_typical_B021_3,primary_processed,0.0020833333333333,-0.0995195652462121,典型样本
B_typical_B021_3,primary_processed,0.0021666666666666,0.2122609542343073,典型样本
B_typical_B021_3,primary_processed,0.00225,0.2659180970914502,典型样本
B_typical_B021_3,primary_processed,0.0023333333333333,-0.0739104743371212,典型样本
B_typical_B021_3,primary_processed,0.0024166666666666,-0.1043974873241342,典型样本
B_typical_B021_3,primary_processed,0.0025,0.1813674477408008,典型样本
B_typical_B021_3,primary_processed,0.0025833333333333,0.098849265922619,典型样本
B_typical_B021_3,primary_processed,0.0026666666666666,-0.2613039808306277,典型样本
B_typical_B021_3,primary_processed,0.00275,-0.0983000847267316,典型样本
B_typical_B021_3,primary_processed,0.0028333333333333,0.2329921230654762,典型样本
B_typical_B021_3,primary_processed,0.0029166666666666,-0.032854630181277,典型样本
B_typical_B021_3,primary_processed,0.003,-0.2133377470643939,典型样本
B_typical_B021_3,primary_processed,0.0030833333333333,0.1244583568317099,典型样本
B_typical_B021_3,primary_processed,0.0031666666666666,-0.0044000847267316,典型样本
B_typical_B021_3,primary_processed,0.00325,-0.2466702145968615,典型样本
B_typical_B021_3,primary_processed,0.0033333333333333,0.1569778373511904,典型样本
B_typical_B021_3,primary_processed,0.0034166666666666,0.0468180970914502,典型样本
B_typical_B021_3,primary_processed,0.0035,-0.3344728119994589,典型样本
B_typical_B021_3,primary_processed,0.0035833333333333,-0.0588702145968614,典型样本
B_typical_B021_3,primary_processed,0.0036666666666666,0.0232414737148268,典型样本
B_typical_B021_3,primary_processed,0.00375,-0.1401689158955628,典型样本
B_typical_B021_3,primary_processed,0.0038333333333333,-0.214963721090368,典型样本
B_typical_B021_3,primary_processed,0.0039166666666666,-0.0291961886228355,典型样本
B_typical_B021_3,primary_processed,0.004,0.1134830321563852,典型样本
B_typical_B021_3,primary_processed,0.0040833333333333,0.0460051100784632,典型样本
B_typical_B021_3,primary_processed,0.0041666666666666,-0.0523663184929653,典型样本
B_typical_B021_3,primary_processed,0.00425,0.1073856295589826,典型样本
B_typical_B021_3,primary_processed,0.0043333333333333,0.1679531620265151,典型样本
B_typical_B021_3,primary_processed,0.0044166666666666,-0.1178117730384199,典型样本
B_typical_B021_3,primary_processed,0.0045,-0.1665909938176407,典型样本
B_typical_B021_3,primary_processed,0.0045833333333333,-0.0027741107007575,典型样本
B_typical_B021_3,primary_processed,0.0046666666666666,-0.0832598249864718,典型样本
B_typical_B021_3,primary_processed,0.00475,-0.06334164316829,典型样本
B_typical_B021_3,primary_processed,0.0048333333333333,0.0403142009875541,典型样本
B_typical_B021_3,primary_processed,0.0049166666666666,0.1147025126758658,典型样本
B_typical_B021_3,primary_processed,0.005,0.1252713438446969,典型样本
B_typical_B021_3,primary_processed,0.0050833333333333,0.0407206944940476,典型样本
B_typical_B021_3,primary_processed,0.0051666666666666,0.0183635516369047,典型样本
B_typical_B021_3,primary_processed,0.00525,0.0451921230654761,典型样本
