group_id,relative_path,class_label,load_hp,fault_size_in,outer_race_position_clock,rpm,subgroup,score_OR,score_IR,score_B,score_N,pred_label,top_model_score,score_margin,window_count,outer_fold
source_domain/cwru_12khz_fe/IR007_0.mat,source_domain/cwru_12khz_fe/IR007_0.mat,IR,0.0,0.007,,1796.0,source_12khz_fe,0.7137469672127108,0.2861644059203415,8.19531926077454e-05,6.67367433998174e-06,OR,0.7137469672127108,0.4275825612923693,15,0
source_domain/cwru_12khz_fe/IR014_0.mat,source_domain/cwru_12khz_fe/IR014_0.mat,IR,0.0,0.014,,1796.0,source_12khz_fe,0.6749358148876292,0.31233192925717684,0.011080367460164964,0.0016518883950289037,OR,0.6749358148876292,0.36260388563045237,15,0
source_domain/cwru_12khz_fe/OR014@3_0.mat,source_domain/cwru_12khz_fe/OR014@3_0.mat,OR,0.0,0.014,3.0,1796.0,source_12khz_fe,0.37637208523978277,0.6172264806506872,0.006399794617383938,1.6394921461877982e-06,IR,0.6172264806506872,0.24085439541090442,15,0
source_domain/cwru_12khz_fe/OR014@3_1.mat,source_domain/cwru_12khz_fe/OR014@3_1.mat,OR,1.0,0.014,3.0,1774.0,source_12khz_fe,0.06555930796524236,0.9282887576453839,0.006142067045411165,9.86734396260158e-06,IR,0.9282887576453839,0.8627294496801415,19,0
source_domain/cwru_12khz_fe/OR014@3_2.mat,source_domain/cwru_12khz_fe/OR014@3_2.mat,OR,2.0,0.014,3.0,1752.0,source_12khz_fe,0.11717389403943267,0.8824535996665644,0.00037200807182115233,4.982221817262405e-07,IR,0.8824535996665644,0.7652797056271318,15,0
source_domain/cwru_48khz_normal/N_0.mat,source_domain/cwru_48khz_normal/N_0.mat,N,0.0,,,1796.0,source_48khz_normal,0.9813072074483399,0.0037753053048436482,4.0688816590946935e-05,0.014876798430225609,OR,0.9813072074483399,0.9664304090181143,9,0
source_domain/cwru_12khz_fe/OR007@3_3.mat,source_domain/cwru_12khz_fe/OR007@3_3.mat,OR,3.0,0.007,3.0,1733.0,source_12khz_fe,0.40718972181201085,0.5920390342976108,4.7342314792496396e-08,0.0007711965480634803,IR,0.5920390342976108,0.1848493124856,15,2
source_domain/cwru_12khz_fe/OR021@3_1.mat,source_domain/cwru_12khz_fe/OR021@3_1.mat,OR,1.0,0.021,3.0,1773.0,source_12khz_fe,0.021625964599969558,0.8194142537433754,0.15814615192414525,0.0008136297325097993,IR,0.8194142537433754,0.6612681018192301,15,2
source_domain/cwru_12khz_fe/OR021@3_3.mat,source_domain/cwru_12khz_fe/OR021@3_3.mat,OR,3.0,0.021,3.0,1728.0,source_12khz_fe,0.12877199621106908,0.8168346817525266,0.03645020764188241,0.01794311439452195,IR,0.8168346817525266,0.6880626855414576,15,2
source_domain/cwru_12khz_fe/IR007_3.mat,source_domain/cwru_12khz_fe/IR007_3.mat,IR,3.0,0.007,,1732.0,source_12khz_fe,0.540469058830763,0.45926854063954115,0.0002571173694144184,5.283160281309453e-06,OR,0.540469058830763,0.08120051819122187,15,3
