subgroup,exclude_load_hp,n_files,robust_group_distance,distance_time_shape,distance_spectral_location,distance_band_energy,rank
source_12khz_fe,0,33,0.8420263767664431,0.34560557314203905,1.6181890126710015,0.5622845444862886,1
source_12khz_de,0,45,0.88970544135691,0.28103579378883276,2.0153638768457163,0.3727166534361814,2
source_48khz_de,0,39,0.9665951571473971,0.31048179487958555,2.1423426370767107,0.4469610394858949,3
source_12khz_fe,1,34,0.8800898183590866,0.4062376356358523,1.6742306424854778,0.5598011769559298,1
source_12khz_de,1,45,0.8808481207202264,0.289591483684755,2.0052732507997844,0.34767962767613986,2
source_48khz_de,1,39,0.9295540492238076,0.26290079793663795,2.0875449521797713,0.43821639755501346,3
source_12khz_fe,2,34,0.8673881332605896,0.40089575833996627,1.6225705048576569,0.5786981365841454,1
source_12khz_de,2,45,0.8949182183243453,0.3337131387407193,1.9941198987484536,0.3569216174838632,2
source_48khz_de,2,39,0.9399566123775736,0.25075972368443294,2.145808667368607,0.4233014460796807,3
source_12khz_fe,3,34,0.8522676148491337,0.4341471982909605,1.6115294370143731,0.5111262092420674,1
source_12khz_de,3,45,0.9150017675755114,0.35410558079521226,1.9982343385316335,0.3926653833996891,2
source_48khz_de,3,39,0.9531463762503387,0.2765250084287915,2.1336882562366304,0.4492258640855944,3
