tier,feature,rows,nan_count,inf_count,finite_count,constant,min,median,max,robust_scale,extreme_robust_z_gt12_count
common,mean,973,0,0,973,False,-0.09284101733055872,-1.2937286463534788e-05,0.09713460545044772,0.0003870715242062869,181
common,std,973,0,0,973,False,0.05532914602761311,0.26110966254798756,11.284390917713562,0.20107100758647287,180
common,rms,973,0,0,973,False,0.05534085275406982,0.26110973333873666,11.284610392645567,0.20107107663976861,180
common,mean_abs,973,0,0,973,False,0.044286518279708094,0.1778961967469697,7.919865152687512,0.1195585638077487,180
common,peak_abs,973,0,0,973,False,0.202667545005958,1.8196237740963204,162.9510492437121,1.7519609925698976,122
common,peak_to_peak,973,0,0,973,False,0.40283115232890665,3.4783649350649357,306.85583357035273,3.333955352727272,117
common,skewness,973,0,0,973,False,-0.6513231720883724,0.022128229241895944,1.1142402624317216,0.08511355609892735,1
common,kurtosis,973,0,0,973,False,2.7288430227313625,5.5959459375353875,66.64328297930479,3.63016251992762,5
common,crest_factor,973,0,0,973,False,3.3634404449790245,5.6306941506422215,24.329296260222048,1.948752556940916,0
common,impulse_factor,973,0,0,973,False,4.217802648191978,7.811461816602978,38.74344010817594,3.4251897793696697,0
common,shape_factor,973,0,0,973,False,1.232876797348528,1.3516162759713681,1.7559936065224262,0.13255886363031086,0
common,clearance_factor,973,0,0,973,False,4.9919241317916585,9.56067496363037,48.37275749382203,4.733677002736923,0
common,zero_cross_rate,973,0,0,973,False,0.3404450370864239,0.4912076006333861,0.6065505458788233,0.06313931160930071,0
common,spectral_centroid_hz,973,0,0,973,False,1990.7440584292642,2964.59236417105,3753.91629336585,458.0737042516355,0
common,spectral_rms_hz,973,0,0,973,False,2276.5441502630474,3169.0777530203377,3983.5932291326344,306.1540954659201,0
common,spectral_entropy,973,0,0,973,False,0.5250238257353569,0.7470429919815861,0.9427425080780756,0.06783192224216394,0
common,spectral_flatness,973,0,0,973,False,0.0187334197396094,0.1194985212666549,0.6339890666775141,0.09731659310547824,0
common,dominant_frequency_hz,973,0,0,973,False,67.3828125,3316.40625,5036.1328125,1194.4775390625,0
common,rolloff95_hz,973,0,0,973,False,3459.9609375,4130.859375,5299.8046875,612.4412109374999,0
common,band_ratio_0_500,973,0,0,973,False,0.0010365177148671833,0.022991905681400193,0.3154955959773647,0.022339006253348625,14
common,band_ratio_500_1500,973,0,0,973,False,0.007694541277541414,0.12849703608431143,0.6633036277895962,0.11997987456102145,0
common,band_ratio_1500_3000,973,0,0,973,False,0.01532728697119132,0.10581315026731439,0.5858409440049265,0.08956510615821457,0
common,band_ratio_3000_5500,973,0,0,973,False,0.1965277222100294,0.6252353731664937,0.9570799298105417,0.2874027380245807,0
common,envelope_rms,973,0,0,973,False,0.07824722855810454,0.36926470667600797,15.958538678812179,0.2843572032801221,180
common,envelope_kurtosis,973,0,0,973,False,2.7370736697110902,6.796818464786329,165.47176003499783,4.719581461566986,14
common,envelope_spectral_entropy,973,0,0,973,False,0.4023908579394558,0.7698085445481745,0.9500433241315985,0.16315414756712746,0
source_mechanism_aux,mech_bpfo_h1_h3_energy_ratio,733,0,0,733,False,2.970909637024908e-06,6.865347382710996e-05,0.02510792652827702,7.730554428828555e-05,64
source_mechanism_aux,mech_bpfi_h1_h3_energy_ratio,733,0,0,733,False,0.0003042821242729577,0.004741498251801006,0.04855490271165914,0.005774796171797232,0
source_mechanism_aux,mech_bsf_h1_h3_energy_ratio,733,0,0,733,False,1.9390024501613177e-05,0.001372781897201152,0.03971774030747061,0.0014419523939410304,21
source_mechanism_aux,mech_bpfi_fr_sideband_energy_ratio,733,0,0,733,False,5.533390723736777e-05,0.002233079128029323,0.05276760322546818,0.00265988704805131,32
source_mechanism_aux,mech_bsf_ftf_sideband_energy_ratio,733,0,0,733,False,4.954195994691031e-05,0.001231010247063712,0.03035953423118578,0.0014984756271162584,37
