relative_path,subgroup,signal_var,native_points,native_fs_hz,status
source_domain/cwru_12khz_de/B007_0.mat,source_12khz_de,X118_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B007_1.mat,source_12khz_de,X119_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B007_2.mat,source_12khz_de,X120_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B007_3.mat,source_12khz_de,X121_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B014_0.mat,source_12khz_de,X185_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B014_1.mat,source_12khz_de,X186_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B014_2.mat,source_12khz_de,X187_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B014_3.mat,source_12khz_de,X188_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B021_0.mat,source_12khz_de,X222_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B021_1.mat,source_12khz_de,X223_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B021_2.mat,source_12khz_de,X224_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B021_3.mat,source_12khz_de,X225_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B028_0_(1797rpm).mat,source_12khz_de,X048_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B028_1_(1772rpm).mat,source_12khz_de,X049_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B028_2_(1750rpm).mat,source_12khz_de,X050_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/B028_3_(1730rpm).mat,source_12khz_de,X051_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR007_0.mat,source_12khz_de,X105_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR007_1.mat,source_12khz_de,X106_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR007_2.mat,source_12khz_de,X107_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR007_3.mat,source_12khz_de,X108_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR014_0.mat,source_12khz_de,X169_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR014_1.mat,source_12khz_de,X170_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR014_2.mat,source_12khz_de,X171_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR014_3.mat,source_12khz_de,X172_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR021_0.mat,source_12khz_de,X209_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR021_1.mat,source_12khz_de,X210_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR021_2.mat,source_12khz_de,X211_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR021_3.mat,source_12khz_de,X212_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR028_0_(1797rpm).mat,source_12khz_de,X056_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR028_1_(1772rpm).mat,source_12khz_de,X057_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR028_2_(1750rpm).mat,source_12khz_de,X058_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/IR028_3_(1730rpm).mat,source_12khz_de,X059_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR007@12_0.mat,source_12khz_de,X156_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR007@12_1.mat,source_12khz_de,X158_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR007@12_2.mat,source_12khz_de,X159_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR007@12_3.mat,source_12khz_de,X160_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR007@3_0.mat,source_12khz_de,X144_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR007@3_1.mat,source_12khz_de,X145_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR007@3_2.mat,source_12khz_de,X146_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR007@3_3.mat,source_12khz_de,X147_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR007@6_0.mat,source_12khz_de,X130_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR007@6_1.mat,source_12khz_de,X131_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR007@6_2.mat,source_12khz_de,X132_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR007@6_3.mat,source_12khz_de,X133_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR014@6_0.mat,source_12khz_de,X197_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR014@6_1.mat,source_12khz_de,X198_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR014@6_2.mat,source_12khz_de,X199_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR014@6_3.mat,source_12khz_de,X200_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR021@12_0.mat,source_12khz_de,X258_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR021@12_1.mat,source_12khz_de,X259_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR021@12_2.mat,source_12khz_de,X260_DE_time,96000,12000,OK
source_domain/cwru_12khz_de/OR021@12_3.mat,source_12khz_de,X261_DE_time,96000,12000,OK
