relative_path,status,variable_count,primary_points,file_sha256
source_domain/cwru_12khz_de/B007_0.mat,OK,4,96000,4431bdfdc6a49cac359fdcca3fda44da7631f077d176e1f7fc4ee575a1f2bed4
source_domain/cwru_12khz_de/B007_1.mat,OK,4,96000,3d8e2a3c8ba7206397338e9e2eb0d3e7af0fca27d92aafe2fc00f1afe207dbe0
source_domain/cwru_12khz_de/B007_2.mat,OK,4,96000,7965b87166565d4b08b83d9c1f2f7ffd5c997eeeb93d31c7a34d243f8800e830
source_domain/cwru_12khz_de/B007_3.mat,OK,4,96000,1ed08a345df7345280dbae282cb53cb4f53b380bf912809381558bfc947f693a
source_domain/cwru_12khz_de/B014_0.mat,OK,4,96000,f8fe5a077db7014726a23ff65705c81edbc311aa5e3359f00fe33d8a912a45fe
source_domain/cwru_12khz_de/B014_1.mat,OK,4,96000,022203036bf24909ae83af56ec4751fc056e5ed43e8e3b1fc52b3fdcf98c6417
source_domain/cwru_12khz_de/B014_2.mat,OK,4,96000,da7b9ed7c9a50f64466ffefd256c7521c74c2451e850170f2206193959f54462
source_domain/cwru_12khz_de/B014_3.mat,OK,4,96000,68bcbc055e594d1ae7873ddd086091efd9ead5fd706014a81c9b62643d1a90cd
source_domain/cwru_12khz_de/B021_0.mat,OK,4,96000,e98b8b1b70be77aadfec37b8289c0273291d745b5c8af239e7f3e3b0363ca336
source_domain/cwru_12khz_de/B021_1.mat,OK,4,96000,b3a4c04be7056abdea669b393d92aeb8cb1f4b2ecf787c09d886d5660b783634
source_domain/cwru_12khz_de/B021_2.mat,OK,4,96000,a1950f4e675b86a571d42a6ab0307cc94fcdede8d980d8ba4abad91c64a5845c
source_domain/cwru_12khz_de/B021_3.mat,OK,4,96000,8c5104cff6121cf9e763d6ce6fef91af9f1c1e19adf3d9fc67215c6f8153ad39
source_domain/cwru_12khz_de/B028_0_(1797rpm).mat,OK,1,96000,c0d051c6fd26231e0067aac6bada3c251f82d4a9e313bbed658bd5bde4760360
source_domain/cwru_12khz_de/B028_1_(1772rpm).mat,OK,1,96000,f1f220d373169dd850e6fafa72f58eb3cac73eac37b3d5b781501da2d84ab018
