case_id,domain,group_id,target_id,true_label,truth_status,explained_label,feature,rank,file_score_drop_when_occluded,feature_family,is_mechanism_proxy,case_input_mean,source_reference_median_file_mean,predicted_class_source_prototype,prototype_direction_aligned
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,rolloff95_hz,1,0.24133333333333318,spectral_structure,True,3818.9453125,4106.0546875,3846.2851464599,True
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,envelope_spectral_entropy,2,0.195111111111111,spectral_structure,True,0.5390276836849833,0.7334258084205146,0.6678038697589529,True
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,envelope_rms,3,0.12555555555555564,other,False,0.4995924796686054,0.24251986540387585,0.44569397593553167,True
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,std,4,0.1128888888888887,other,False,0.35326524758564176,0.17148744381253891,0.31515327854797587,True
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,rms,5,0.09812698412698406,other,False,0.3532652777391515,0.17148776038990937,0.3151923791032461,True
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,band_ratio_0_500,6,0.09133333333333327,spectral_structure,True,0.00904914545214936,0.028302938725705724,0.022361844498659415,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,clearance_factor,7,0.08911111111111114,impulse,True,18.523746156064647,10.386982007023082,10.870966185118503,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,envelope_kurtosis,8,0.06938100752750442,impulse,True,14.535388191703383,7.7442645022475425,7.416280864335194,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,impulse_factor,9,0.06275213675213664,impulse,True,13.619515664162082,8.37965542033554,8.412561015168379,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,peak_to_peak,10,0.034548148148148106,other,False,5.473380865800865,2.674868190476191,3.674079743701578,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,shape_factor,11,0.03270370370370357,other,False,1.7179511323996222,1.3752504547460118,1.440029995514724,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,spectral_flatness,12,0.028888888888888853,spectral_structure,True,0.0560715768703443,0.08331263847427617,0.0674149358867311,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,crest_factor,13,0.028870273414775993,impulse,True,7.927182642658016,5.9871580812683,5.6842963330794065,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,mean_abs,14,0.02222222222222192,other,False,0.2056445578656083,0.13153217984418245,0.2065953322421126,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,peak_abs,15,0.020920634920635006,other,False,2.8002903021978716,1.3930138947943727,1.9151497067399998,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,band_ratio_3000_5500,16,0.020888888888888735,spectral_structure,True,0.8582633772500772,0.6774030542910473,0.718873301859318,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,kurtosis,17,0.014666666666666606,impulse,True,15.239670932986591,6.102325940378461,7.1131661681022225,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,band_ratio_1500_3000,18,0.009333333333333305,spectral_structure,True,0.04831452628905299,0.07671706602830837,0.07506811367881802,
SRC_OR_REP,source,source_domain/cwru_12khz_fe/OR007@6_1.mat,,OR,known_source,OR,band_ratio_500_1500,19,0.0033333333333332993,spectral_structure,True,0.0843709631277225,0.1652598000259201,0.18368463207650884,
