window_id,mean,std,rms,mean_abs,peak_abs,peak_to_peak,skewness,kurtosis,crest_factor,impulse_factor,shape_factor,clearance_factor,zero_cross_rate,spectral_centroid_hz,spectral_rms_hz,spectral_entropy,spectral_flatness,dominant_frequency_hz,rolloff95_hz,band_ratio_0_500,band_ratio_500_1500,band_ratio_1500_3000,band_ratio_3000_5500,envelope_rms,envelope_kurtosis,envelope_spectral_entropy
WIN-306010b55ca0e59ab5f5,0.024621479606455624,2.7715086949836145,2.771618058756976,2.2003469550024213,11.760225871822183,22.809739181789837,0.010989337325931676,3.1505350220805277,4.243090361841633,5.34471431656736,1.259627738459395,6.323777334842533,0.42053504458704893,2473.5195447760393,2778.021052326143,0.9063878139562186,0.5185476998635079,1327.1484375,4933.59375,0.028566149745151242,0.19994775313485486,0.4784693826045422,0.2929049135027413,3.919505176401768,3.6155672876693203,0.93072178184582
WIN-eef3214ff15f4dd1c693,0.019499845929078777,2.750866949650133,2.7509360622647496,2.1835513702510974,12.87589432339795,23.92540763336561,0.004855606016813894,3.2059394660905225,4.680550195264442,5.896767302484571,1.2598449020904627,6.975401778534076,0.41703475289607467,2488.737144603034,2801.1266273596752,0.9076438476450931,0.5241715196683274,1327.1484375,5027.34375,0.029985208257212986,0.206318842329221,0.4655467214980706,0.29809995175398957,3.8903133099847187,3.6929232784085637,0.9293879337659975
WIN-e277b18e45d231921986,0.017687297442499757,2.7869750582030037,2.7870311830936614,2.2118380488991707,12.87589432339795,25.043361008394665,0.018460485126375225,3.210393219285486,4.6199319194917745,5.821354926867475,1.26005210213266,6.880414019652844,0.422118509875823,2465.2547641760493,2767.0307899133895,0.9037593865722205,0.5108822718616873,1327.1484375,4951.171875,0.029622652609102677,0.2025642235781356,0.48775615297160735,0.27995936109340036,3.941377923156103,3.7670298919958514,0.9286124235213378
WIN-c8099c7aa973435fcefe,0.003953824429593196,2.8326445836835115,2.8326473430695804,2.248636746537438,12.17394947865681,24.08243253527461,0.008306010063141547,3.1965489137570136,4.297728592455243,5.41392445773976,1.2597176255480886,6.4022489605081505,0.4232852737728144,2441.436943957315,2740.6662385790487,0.8994302914970039,0.49668596841516616,1327.1484375,4918.9453125,0.02829933097232622,0.20022799911430242,0.4926405428958937,0.27874715146898965,4.005964358978369,3.8724486032631087,0.9269878624149098
WIN-03ee54a13bf27193f898,-0.0004713033699814459,2.844184516849218,2.844184555898525,2.267893539213718,12.17394947865681,24.08243253527461,-7.500289856957561e-05,3.0293156775115295,4.28029519160601,5.367954565835647,1.2541084961524929,6.339041028297354,0.4182015167930661,2464.7725982245042,2768.356387936252,0.9001820066921655,0.5064003614080166,1324.21875,4995.1171875,0.029313082580965637,0.2094223527988814,0.4827265863270115,0.27850215428178865,4.022284314161747,3.491310379796699,0.9333064882917487
WIN-843e260a823103c55fc6,0.011041723500839836,2.818705975889103,2.8187276026907617,2.248809773378998,12.375947360090752,23.076653994501633,-0.026255467599404322,3.020959614556814,4.390614881790018,5.503332254506125,1.253430875326626,6.488874387003756,0.41836819734977915,2506.9160143170793,2816.8534243387844,0.9054526422241596,0.5192273860980923,1327.1484375,5015.625,0.029647925138126165,0.21094871472730375,0.4628492117455694,0.2964916182558544,3.986252207279144,3.3532999849728653,0.9338492689118588
WIN-58f4fdcc4e742186c626,0.012983874742205683,2.7715947716042466,2.7716251837121337,2.206405336184629,12.375947360090752,23.23274781431178,0.007711510155706713,3.075259636981145,4.465231241516846,5.609099632384835,1.25617226275551,6.6245446334907365,0.4188682390199183,2490.667958206672,2798.1490510540457,0.9077434788044141,0.524305648821771,1327.1484375,4962.890625,0.03129912505801846,0.21641598696545217,0.4542688342727584,0.297935029001656,3.919626912447191,3.5442526469455733,0.9290803746418919
WIN-1b54c47333f6512787cb,-0.021837714403500186,2.778522445458932,2.778608260566691,2.2113097077187254,11.191705382633439,22.048505836854467,0.052543767947662,3.074665658194781,4.027809728150339,5.061120721155873,1.2565441425353108,5.9777919768997085,0.42828569047420617,2546.9801645386938,2857.4738923596183,0.9197474991902991,0.5455783016729747,1327.1484375,4986.328125,0.029625403050721342,0.19029653579387865,0.4661310497689618,0.3138141434141245,3.929424083027713,3.3829170338898362,0.9355761005854494
WIN-2b94c34d801ae83c7ff4,-0.0433512453118559,2.8151025229126003,2.8154362974464497,2.237841319921803,12.142621506436473,23.965736357067712,-0.012696088476632813,3.1223589651684067,4.3128738225920085,5.426042230221823,1.2581036342396126,6.410898512358064,0.429202433536128,2509.708974531587,2819.1719849568867,0.9039220374057468,0.5172811981729929,1327.1484375,5018.5546875,0.028281651851209004,0.18390364153153071,0.4894920627377597,0.2982170434800496,3.9811561628698775,3.4336059736310323,0.9302921961135614
WIN-62333cffcb7244781151,-0.018281523095375566,2.832130642436497,2.832189645824314,2.2524857767133315,12.6548345225922,24.47794937322344,-0.021887703726895028,3.1007143090811353,4.468215799477128,5.618164009475622,1.2573618333588716,6.638490961534537,0.42828569047420617,2485.410943665371,2785.325141596723,0.8970744676777127,0.5017178747980958,1324.21875,4968.75,0.02680776250957349,0.19127310084211566,0.49271981820857563,0.2891195696861407,4.0052375334456265,3.472744941817219,0.9272526408882156
WIN-3696567f5a0ac7ae8bdb,-0.009295476211082997,2.785098620033757,2.7851141321662074,2.2160088789397774,12.6548345225922,22.3755713250149,-0.0009346782538487522,3.096492855001173,4.543740012817706,5.7106425172091555,1.2568154210182834,6.750470367975663,0.43045253771147596,2554.473008772209,2864.257830218354,0.9126784858500913,0.5401437129574252,1324.21875,5030.2734375,0.029697591999803936,0.19416329083867415,0.4667614556688775,0.30923015081739724,3.9387242289752504,3.600558272208633,0.9315507031882846
WIN-4c6c1eacae528e912b20,-0.006075359829911056,2.7725064636137455,2.7725131200369564,2.190572348737854,11.444399584049723,22.716018559374266,-0.022171223532378805,3.216566154496175,4.127807187398647,5.224387859473547,1.2656569510854705,6.2100932777801,0.4307858988249021,2481.335372757308,2791.662757646085,0.908842532632495,0.5304115249799009,1327.1484375,5000.9765625,0.03131762177659891,0.19560841817128255,0.47805213721583817,0.2949350573673342,3.9209162421163932,3.86522141153763,0.925090363495246
WIN-cc736f2e3e77f40834d5,0.0042444902341870405,2.7668918880031317,2.766895143585113,2.1963857727434135,11.271618975324543,21.93098050518949,-0.007116804967500873,3.1589798817013266,4.073742729807838,5.131894002955821,1.259749165160472,6.072011277535903,0.4327860655054588,2469.772712221868,2786.0851746921153,0.9067781912445002,0.526102333939991,1327.1484375,5009.765625,0.03130005222814508,0.1999969096425697,0.4773246502218756,0.2912767484473778,3.9129760034517362,3.6864361941986004,0.9295999610614304
WIN-6ffb2395ec000874b64c,-0.012037402966019604,2.779035262127917,2.779061332036511,2.2133644298717683,10.996033790235705,21.95954340179046,0.015711145931720873,3.0969392205257824,3.9567438341397794,4.968017756961872,1.255582358932307,5.8608295010317555,0.4291190932577715,2536.1699185353305,2846.3216670582087,0.916965776719467,0.5345121906861571,1324.21875,5015.625,0.027042215389857762,0.19828328473270157,0.4564298312356617,0.3181743799966198,3.9301493566557637,3.4803996749327166,0.9333562370036177
WIN-deaa80fb3febe6c69b39,-0.0063972080661567985,2.7704039652645527,2.7704113512301016,2.2043016206113597,12.015183617077689,23.011217407313396,0.025489184246229667,3.098343070016415,4.336967364697824,5.450789268004006,1.256820448401465,6.432677976883844,0.42378531544295356,2493.821662432837,2804.9720882544075,0.9137479350015922,0.5353512541408997,1327.1484375,5006.8359375,0.028044195431733844,0.21660542017015788,0.45650102940318216,0.2987624660753431,3.9179428040916755,3.427379010772352,0.9342564441974318
WIN-cef57c533ee704d59fc2,-0.001245907468093387,1.089425900077755,1.08942661251029,0.8597255015968662,6.203729846124593,11.137697247512186,-0.01429240241686172,3.366697090761997,5.694490821941713,7.2159425707327305,1.2671795945165132,8.56408946855621,0.4305358779898325,2516.74594074308,2896.8330380758953,0.9284958213885945,0.5708915530899917,275.390625,5044.921875,0.15442361646669467,0.06797587082456479,0.4054719002497274,0.37196262302310795,1.540680882891412,4.5619192895858545,0.9329162311288478
