relative_path,filename,domain,file_sha256,fs_hz,label,fault_size_inch,load_hp,or_position,status,variables,record_id,rpm,rpm_source,signal_vars,signal_count,lengths,min_length,max_length,duration_min_s,duration_max_s,nonfinite_count,constant_vars,possible_clipping_vars
source_domain/cwru_12khz_de/B007_0.mat,B007_0.mat,source,4431bdfdc6a49cac359fdcca3fda44da7631f077d176e1f7fc4ee575a1f2bed4,12000,B,0.007,0.0,,OK,X118_DE_time|X118_FE_time|X118_BA_time|X118RPM,X118,1796.0,MAT,X118_DE_time|X118_FE_time|X118_BA_time,3,96000|96000|96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B007_1.mat,B007_1.mat,source,3d8e2a3c8ba7206397338e9e2eb0d3e7af0fca27d92aafe2fc00f1afe207dbe0,12000,B,0.007,1.0,,OK,X119_DE_time|X119_FE_time|X119_BA_time|X119RPM,X119,1772.0,MAT,X119_DE_time|X119_FE_time|X119_BA_time,3,96000|96000|96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B007_2.mat,B007_2.mat,source,7965b87166565d4b08b83d9c1f2f7ffd5c997eeeb93d31c7a34d243f8800e830,12000,B,0.007,2.0,,OK,X120_DE_time|X120_FE_time|X120_BA_time|X120RPM,X120,1748.0,MAT,X120_DE_time|X120_FE_time|X120_BA_time,3,96000|96000|96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B007_3.mat,B007_3.mat,source,1ed08a345df7345280dbae282cb53cb4f53b380bf912809381558bfc947f693a,12000,B,0.007,3.0,,OK,X121_DE_time|X121_FE_time|X121_BA_time|X121RPM,X121,1722.0,MAT,X121_DE_time|X121_FE_time|X121_BA_time,3,96000|96000|96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B014_0.mat,B014_0.mat,source,f8fe5a077db7014726a23ff65705c81edbc311aa5e3359f00fe33d8a912a45fe,12000,B,0.014,0.0,,OK,X185_DE_time|X185_FE_time|X185_BA_time|X185RPM,X185,1796.0,MAT,X185_DE_time|X185_FE_time|X185_BA_time,3,96000|96000|96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B014_1.mat,B014_1.mat,source,022203036bf24909ae83af56ec4751fc056e5ed43e8e3b1fc52b3fdcf98c6417,12000,B,0.014,1.0,,OK,X186_DE_time|X186_FE_time|X186_BA_time|X186RPM,X186,1772.0,MAT,X186_DE_time|X186_FE_time|X186_BA_time,3,96000|96000|96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B014_2.mat,B014_2.mat,source,da7b9ed7c9a50f64466ffefd256c7521c74c2451e850170f2206193959f54462,12000,B,0.014,2.0,,OK,X187_DE_time|X187_FE_time|X187_BA_time|X187RPM,X187,1749.0,MAT,X187_DE_time|X187_FE_time|X187_BA_time,3,96000|96000|96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B014_3.mat,B014_3.mat,source,68bcbc055e594d1ae7873ddd086091efd9ead5fd706014a81c9b62643d1a90cd,12000,B,0.014,3.0,,OK,X188_DE_time|X188_FE_time|X188_BA_time|X188RPM,X188,1724.0,MAT,X188_DE_time|X188_FE_time|X188_BA_time,3,96000|96000|96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B021_0.mat,B021_0.mat,source,e98b8b1b70be77aadfec37b8289c0273291d745b5c8af239e7f3e3b0363ca336,12000,B,0.021,0.0,,OK,X222_DE_time|X222_FE_time|X222_BA_time|X222RPM,X222,1796.0,MAT,X222_DE_time|X222_FE_time|X222_BA_time,3,96000|96000|96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B021_1.mat,B021_1.mat,source,b3a4c04be7056abdea669b393d92aeb8cb1f4b2ecf787c09d886d5660b783634,12000,B,0.021,1.0,,OK,X223_DE_time|X223_FE_time|X223_BA_time|X223RPM,X223,1774.0,MAT,X223_DE_time|X223_FE_time|X223_BA_time,3,96000|96000|96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B021_2.mat,B021_2.mat,source,a1950f4e675b86a571d42a6ab0307cc94fcdede8d980d8ba4abad91c64a5845c,12000,B,0.021,2.0,,OK,X224_DE_time|X224_FE_time|X224_BA_time|X224RPM,X224,1754.0,MAT,X224_DE_time|X224_FE_time|X224_BA_time,3,96000|96000|96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B021_3.mat,B021_3.mat,source,8c5104cff6121cf9e763d6ce6fef91af9f1c1e19adf3d9fc67215c6f8153ad39,12000,B,0.021,3.0,,OK,X225_DE_time|X225_FE_time|X225_BA_time|X225RPM,X225,1729.0,MAT,X225_DE_time|X225_FE_time|X225_BA_time,3,96000|96000|96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B028_0_(1797rpm).mat,B028_0_(1797rpm).mat,source,c0d051c6fd26231e0067aac6bada3c251f82d4a9e313bbed658bd5bde4760360,12000,B,0.028,0.0,,OK,X048_DE_time,X048,1797.0,filename,X048_DE_time,1,96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B028_1_(1772rpm).mat,B028_1_(1772rpm).mat,source,f1f220d373169dd850e6fafa72f58eb3cac73eac37b3d5b781501da2d84ab018,12000,B,0.028,1.0,,OK,X049_DE_time,X049,1772.0,filename,X049_DE_time,1,96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B028_2_(1750rpm).mat,B028_2_(1750rpm).mat,source,b3b80a132323090f3bb697ff9c34cab090b750d33ddb5e1f1eedb571677c5475,12000,B,0.028,2.0,,OK,X050_DE_time,X050,1750.0,filename,X050_DE_time,1,96000,96000,96000,8.0,8.0,0,,
source_domain/cwru_12khz_de/B028_3_(1730rpm).mat,B028_3_(1730rpm).mat,source,13bbd9f20fbaed5503ba491d9f441eddf634e2b63c748815ef1154ec5be51271,12000,B,0.028,3.0,,OK,X051_DE_time,X051,1730.0,filename,X051_DE_time,1,96000,96000,96000,8.0,8.0,0,,
