feature,source_file_mean,source_file_std,target_file_mean,target_file_std,standardized_mean_shift_source_sd,abs_standardized_mean_shift,wasserstein_over_source_sd,ks_statistic,ks_pvalue_descriptive
td_ptp,5.243169755245944,3.642834240179713,207.24659166565428,257.625596599064,55.452268369049605,55.452268369049605,55.452268369049605,1.0,4.858726428752437e-16
td_peak_abs,2.7010549221718207,1.8702767471193058,106.20545058589398,131.29958866089694,55.34175400680398,55.34175400680398,55.34175400680399,1.0,4.858726428752437e-16
td_std,0.39632139071914396,0.2767630704907488,11.228330260948074,10.36591257443346,39.13820167922658,39.13820167922658,39.13820167922658,1.0,4.858726428752437e-16
td_rms,0.39632139071914396,0.2767630704907488,11.228330260948074,10.36591257443346,39.13820167922658,39.13820167922658,39.13820167922658,1.0,4.858726428752437e-16
env_rms,0.3736239247614725,0.2918782990494256,10.953965062298167,12.466607672156597,36.249153061375964,36.249153061375964,36.249153061375964,0.9642857142857143,7.43385143599123e-14
td_zero_cross_rate,0.12095220538891607,0.02069600147835211,0.360248106711668,0.03814728807792956,11.562421928363987,11.562421928363987,11.562421928363989,1.0,4.858726428752437e-16
fd_f95_hz_0_6k,3454.6700613839284,398.12562296588675,5530.37109375,231.18834566229023,5.213683602936371,5.213683602936371,5.213683602936371,1.0,4.858726428752437e-16
fd_entropy_0_6k,0.7042272092163382,0.06282364304589305,0.904924657217365,0.04930493752849871,3.194616521273944,3.194616521273944,3.1946165212739417,0.9375,4.965618410184991e-13
fd_centroid_hz_0_6k,2722.0939788218393,212.73316444978994,2956.643575163937,545.0030302706842,1.1025530360944584,1.1025530360944584,1.3984710715934139,0.3482142857142857,0.07880478170754682
fd_energy_ratio_1500_3000,0.6238088754251023,0.23845759657718255,0.39391003839231714,0.08573722394685675,-0.9641078344022179,0.9641078344022179,1.058990333915125,0.7232142857142857,7.26677337537699e-07
fd_dominant_hz_0_6k,2623.348313934949,743.497489336195,1921.77734375,1229.2804387487038,-0.943609064250266,0.943609064250266,1.2780331145233783,0.7053571428571429,1.6419757339666114e-06
env_energy_ratio_300_500,0.14358231284650375,0.09576171099440399,0.22561278062818135,0.10272676579012187,0.8566102978931862,0.8566102978931862,0.8752415203905872,0.36607142857142855,0.05621106803880412
fd_energy_ratio_500_1500,0.06670406581528579,0.05984752837260544,0.11786463994241225,0.07304173867050508,0.8548485713328917,0.8548485713328917,0.8548485713328917,0.5089285714285714,0.0018901693338730235
fd_energy_ratio_3000_6000,0.27375773343711557,0.18806867881299125,0.42503465566302034,0.13183927917113258,0.8043706330086422,0.8043706330086422,0.8158983395449078,0.4642857142857143,0.006270031775780966
env_entropy_0_500,0.6807233185301715,0.153180406606407,0.7966777422238069,0.10692698904278053,0.756979474480553,0.756979474480553,0.7569794744805537,0.4642857142857143,0.006270031775780966
env_dominant_hz_0_500,79.8954081632653,45.493529406540546,48.55,38.44161710862234,-0.689008053940058,0.689008053940058,0.7018602965595757,0.4375,0.012069961685236155
env_kurtosis,10.768503823768254,7.520936203394063,15.492138343128683,17.59529099145827,0.6280646972153198,0.6280646972153198,0.8826550996344498,0.29464285714285715,0.1950286091150796
env_centroid_hz_0_500,148.91703694268682,42.937451089193864,173.82543608311033,42.84806847902754,0.5801089377355296,0.5801089377355296,0.5930602356496406,0.3125,0.14669139349409616
fd_energy_ratio_0_500,0.029641906783285925,0.06026544154574131,0.059386596041077364,0.07856768667933256,0.49356129308727126,0.49356129308727126,0.5196088729898171,0.5714285714285714,0.0002814805642878633
env_energy_ratio_50_150,0.39172932036216945,0.13597590925563782,0.32562965687922785,0.06878150200664433,-0.4861130463828907,0.4861130463828907,0.6118750762873989,0.48214285714285715,0.0039452267577649415
td_kurtosis,9.558844093174404,6.722967558351186,12.500037202513251,14.085404061251522,0.43748435252901585,0.43748435252901585,0.8216640128029992,0.33035714285714285,0.10846174677284354
td_crest_factor,6.868481632609648,2.4495979616191708,7.5397583390203184,3.836577013828284,0.27403546089128844,0.27403546089128844,0.40038903208212484,0.19642857142857142,0.6656905843169066
td_impulse_factor,10.657508887706653,5.175596571805167,11.926075591165734,8.310705891112427,0.24510540685682247,0.24510540685682247,0.45644230034864824,0.25,0.3677387081910674
td_clearance_factor,14.078340926044957,7.904216464351989,15.59395494686278,12.198534197449307,0.19174753470546277,0.19174753470546277,0.42782848924285777,0.23214285714285715,0.45857947949889444
env_energy_ratio_150_300,0.24115405871060944,0.1166408042272544,0.22803260943235917,0.04849041206619261,-0.11249450280439934,0.11249450280439934,0.3380765852112577,0.21428571428571427,0.5595512828777425
td_shape_factor,1.4910704152176624,0.24218789791811685,1.4669355241241047,0.32975778534832034,-0.09965358013767335,0.09965358013767335,0.3704191416018164,0.41964285714285715,0.018243120061010847
td_skewness,0.001476621950931226,0.12392905354720761,-0.010142605031546969,0.10576571131808017,-0.09375708641276878,0.09375708641276878,0.3187326015970521,0.32142857142857145,0.12672959827929584
env_energy_ratio_0_50,0.21937583684520262,0.1339346568681609,0.2166117104221772,0.11718079056924695,-0.020637872882642353,0.020637872882642353,0.15287231867827494,0.13392857142857142,0.9604496639774784
