independent_object_id,target_id,distance_to_OR,distance_to_IR,distance_to_B,distance_to_N,nearest_source_class_centroid,second_nearest_source_class_centroid,centroid_distance_margin_second_minus_first,nearest_distance_over_source_class_p95_radius,no_transfer_pred_label,model_centroid_agree,truth_status
data/raw/target_domain/train_bearing_a_to_p/A.mat,A,4.1403425525165645,4.301644815052938,4.505497079244823,4.455742265519269,OR,IR,0.16130226253637314,3.5688453227811974,OR,True,unknown
data/raw/target_domain/train_bearing_a_to_p/B.mat,B,2.8587191626820476,3.0153510703577715,3.0796418676408908,2.854938309868214,N,OR,0.0037808528138336683,2.654202748727671,OR,False,unknown
data/raw/target_domain/train_bearing_a_to_p/C.mat,C,62.06906185617865,62.330647853261496,62.53583101529198,62.772307924838,OR,IR,0.2615859970828467,53.501583090075435,OR,True,unknown
data/raw/target_domain/train_bearing_a_to_p/D.mat,D,9.8204111138261,10.05706389253701,10.285854216228874,10.369414698529448,OR,IR,0.23665277871091028,8.464886136067252,OR,True,unknown
data/raw/target_domain/train_bearing_a_to_p/E.mat,E,31.86300714572788,32.1295077192904,32.328541436679956,32.57412625328877,OR,IR,0.26650057356252077,27.464912040347386,OR,True,unknown
data/raw/target_domain/train_bearing_a_to_p/F.mat,F,6.8430725985427,7.0535298789355645,7.277484048394891,7.289956667705902,OR,IR,0.21045728039286438,5.898513788893458,OR,True,unknown
data/raw/target_domain/train_bearing_a_to_p/G.mat,G,2.9000578106079247,3.0461050278714943,3.1262209517311006,2.7793192311023875,N,OR,0.12073857950553712,2.583900575814598,OR,False,unknown
data/raw/target_domain/train_bearing_a_to_p/H.mat,H,14.593537815116179,14.829473345364717,15.06447509746825,15.185054075044055,OR,IR,0.23593553024853797,12.579171533198771,OR,True,unknown
data/raw/target_domain/train_bearing_a_to_p/I.mat,I,54.53707519362897,54.79796208131132,55.0052191836315,55.237184112925455,OR,IR,0.26088688768234647,47.00924700171183,OR,True,unknown
data/raw/target_domain/train_bearing_a_to_p/J.mat,J,67.57508097874002,67.83242530054716,68.02576082823121,68.26590362148022,OR,IR,0.25734432180713895,58.24759875024184,OR,True,unknown
data/raw/target_domain/train_bearing_a_to_p/K.mat,K,13.153067943052816,13.381413266628272,13.617506096097705,13.736089743884945,OR,IR,0.22834532357545534,11.337531717093244,OR,True,unknown
data/raw/target_domain/train_bearing_a_to_p/L.mat,L,3.224869867664232,3.368142891152132,3.4648540510007226,3.1737199376349463,N,OR,0.051149930029285695,2.950570298855715,OR,False,unknown
data/raw/target_domain/train_bearing_a_to_p/M.mat,M,11.90297110730989,12.122259899234422,12.363008482279783,12.45826022680676,OR,IR,0.21928879192453188,10.259987482847936,OR,True,unknown
data/raw/target_domain/train_bearing_a_to_p/N.mat,N,24.081243291153335,24.33021475709231,24.50095663876606,24.71729335506281,OR,IR,0.24897146593897546,20.757275852489943,OR,True,unknown
data/raw/target_domain/train_bearing_a_to_p/O.mat,O,2.895096087871239,2.9985465849151525,3.057099335366393,2.598859823834318,N,OR,0.2962362640369207,2.4161295759477794,OR,False,unknown
data/raw/target_domain/train_bearing_a_to_p/P.mat,P,9.976763564307145,10.216279652364761,10.446256357931638,10.54032636405175,OR,IR,0.23951608805761637,8.599657040775487,OR,True,unknown
