independent_object_id,domain,pc1,pc2
data/raw/source_domain/cwru_48khz_de/B007_0.mat,source,-25.286103654205977,-1.749499197828908
data/raw/source_domain/cwru_48khz_de/B007_1.mat,source,-25.331314548507052,-1.8270205647630509
data/raw/source_domain/cwru_48khz_de/B007_2.mat,source,-25.330100007839608,-1.818748914364276
data/raw/source_domain/cwru_48khz_de/B007_3.mat,source,-25.339607596077503,-1.7713125352182582
data/raw/source_domain/cwru_48khz_de/B014_0.mat,source,-24.911107905566702,-3.0171493809047334
data/raw/source_domain/cwru_48khz_de/B014_1.mat,source,-24.610192919374434,-3.726161413368585
data/raw/source_domain/cwru_48khz_de/B014_2.mat,source,-24.261493624355058,-4.225008039317011
data/raw/source_domain/cwru_48khz_de/B014_3.mat,source,-24.328480636259084,-3.818636994296852
data/raw/source_domain/cwru_48khz_de/B021_0.mat,source,-24.081788030451754,-2.009652209976654
data/raw/source_domain/cwru_48khz_de/B021_1.mat,source,-24.094047186819452,-3.3714184172000836
data/raw/source_domain/cwru_48khz_de/B021_2.mat,source,-22.780969850836975,-3.8910807269275116
data/raw/source_domain/cwru_48khz_de/B021_3.mat,source,-22.81016195402979,-3.726265248351296
data/raw/source_domain/cwru_48khz_de/IR007_0.mat,source,-22.05356913805334,-0.5935857003265637
data/raw/source_domain/cwru_48khz_de/IR007_1.mat,source,-24.111760173206626,-1.3533348223640438
data/raw/source_domain/cwru_48khz_de/IR007_2.mat,source,-24.08738289100815,-1.3855327931785735
data/raw/source_domain/cwru_48khz_de/IR007_3.mat,source,-24.167907295994326,-1.0942067889402376
data/raw/source_domain/cwru_48khz_de/IR014_0.mat,source,-24.613045359733217,-3.0618250046671283
data/raw/source_domain/cwru_48khz_de/IR014_1.mat,source,-23.592118280690038,-4.0628314935148495
data/raw/source_domain/cwru_48khz_de/IR014_2.mat,source,-23.717963102895325,-4.1102814159861
data/raw/source_domain/cwru_48khz_de/IR014_3.mat,source,-23.55800964935454,-3.4655168737022914
data/raw/source_domain/cwru_48khz_de/IR021_0.mat,source,-22.521131168892943,-1.6473689419900555
data/raw/source_domain/cwru_48khz_de/IR021_1.mat,source,-22.37052787476048,-1.8917588405336918
data/raw/source_domain/cwru_48khz_de/IR021_2.mat,source,-21.631910222707937,-1.511628538215838
data/raw/source_domain/cwru_48khz_de/IR021_3.mat,source,-23.82674448352493,-2.4378665562394835
data/raw/source_domain/cwru_48khz_de/OR007@12_0.mat,source,-24.674751517993165,-2.501758970806265
data/raw/source_domain/cwru_48khz_de/OR007@12_1.mat,source,-23.999922798234884,-2.8905794966971836
data/raw/source_domain/cwru_48khz_de/OR007@12_2.mat,source,-23.95040689024193,-2.9745669580036243
data/raw/source_domain/cwru_48khz_de/OR007@12_3.mat,source,-24.093127274544468,-3.0485347038408186
data/raw/source_domain/cwru_48khz_de/OR007@3_0.mat,source,-23.657534842312653,-1.577577112445879
data/raw/source_domain/cwru_48khz_de/OR007@3_1.mat,source,-23.29953416017845,-1.3570697991132157
data/raw/source_domain/cwru_48khz_de/OR007@3_2.mat,source,-23.397612047185152,-1.4657377931387012
data/raw/source_domain/cwru_48khz_de/OR007@3_3.mat,source,-23.44160308726803,-1.3459374121380765
data/raw/source_domain/cwru_48khz_de/OR007@6_0.mat,source,-17.77914473822239,0.5960351609586065
data/raw/source_domain/cwru_48khz_de/OR007@6_1.mat,source,-18.992733804907758,-0.007770265570861579
data/raw/source_domain/cwru_48khz_de/OR007@6_2.mat,source,-19.195313478185657,0.011536139323983452
data/raw/source_domain/cwru_48khz_de/OR007@6_3.mat,source,-19.273072105170584,-0.08526676033315539
data/raw/source_domain/cwru_48khz_de/OR014@6_0.mat,source,-25.173549416081055,-2.3875953060968365
data/raw/source_domain/cwru_48khz_de/OR014@6_1.mat,source,-25.356879206616423,-1.8744361586555003
data/raw/source_domain/cwru_48khz_de/OR014@6_2.mat,source,-25.019021755989854,-2.342969381877419
data/raw/source_domain/cwru_48khz_de/OR014@6_3.mat,source,-25.283432966416555,-2.0222656903671257
data/raw/source_domain/cwru_48khz_de/OR021@12_0.mat,source,-20.310091557582126,-4.060558513542508
data/raw/source_domain/cwru_48khz_de/OR021@12_1.mat,source,-20.963826257474715,-3.9894492238518726
data/raw/source_domain/cwru_48khz_de/OR021@12_2.mat,source,-21.367979608845324,-4.089838778222165
data/raw/source_domain/cwru_48khz_de/OR021@12_3.mat,source,-22.085616829128725,-3.9377373531965376
data/raw/source_domain/cwru_48khz_de/OR021@3_0.mat,source,-22.80870728755007,-2.3235531538327496
data/raw/source_domain/cwru_48khz_de/OR021@3_1.mat,source,-20.165176536091234,-1.9134031658057977
data/raw/source_domain/cwru_48khz_de/OR021@3_2.mat,source,-20.685257948243496,-1.8849509655035936
data/raw/source_domain/cwru_48khz_de/OR021@3_3.mat,source,-20.90748830236356,-1.9990288125273623
data/raw/source_domain/cwru_48khz_de/OR021@6_0.mat,source,-19.335659230681003,-3.5859817426025167
data/raw/source_domain/cwru_48khz_de/OR021@6_1.mat,source,-20.075193203605696,-3.317812959160075
data/raw/source_domain/cwru_48khz_de/OR021@6_2.mat,source,-19.84816022204091,-3.5261028464243136
data/raw/source_domain/cwru_48khz_de/OR021@6_3.mat,source,-19.912224920587274,-3.592686406299079
data/raw/source_domain/cwru_48khz_normal/N_0.mat,source,-25.615679168877328,-0.9696242317296531
data/raw/source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,source,-25.646123888486308,-0.9800880955649773
data/raw/source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,source,-25.579760662267056,-0.5486696429241971
data/raw/source_domain/cwru_48khz_normal/N_3.mat,source,-25.5338164207649,-0.22893290237031705
data/raw/target_domain/train_bearing_a_to_p/A.mat,target,-4.937021515233194,9.48523903463503
data/raw/target_domain/train_bearing_a_to_p/B.mat,target,-13.965927053678875,3.12061491951204
data/raw/target_domain/train_bearing_a_to_p/C.mat,target,309.24437437398865,3.7995259415448968
data/raw/target_domain/train_bearing_a_to_p/D.mat,target,23.078299254035095,23.718599821535356
data/raw/target_domain/train_bearing_a_to_p/E.mat,target,147.96447242723926,-2.7512382890692693
data/raw/target_domain/train_bearing_a_to_p/F.mat,target,8.100077459594875,17.212478053596282
data/raw/target_domain/train_bearing_a_to_p/G.mat,target,-14.137997541380365,4.1272694007677035
data/raw/target_domain/train_bearing_a_to_p/H.mat,target,51.9541378127708,21.563207535203997
data/raw/target_domain/train_bearing_a_to_p/I.mat,target,268.83133368911206,11.71299963318077
data/raw/target_domain/train_bearing_a_to_p/J.mat,target,337.97145467166024,-25.726562665409546
data/raw/target_domain/train_bearing_a_to_p/K.mat,target,43.62255263639023,21.923829119341214
data/raw/target_domain/train_bearing_a_to_p/L.mat,target,-13.413161322312199,6.014184203368957
data/raw/target_domain/train_bearing_a_to_p/M.mat,target,34.91973032415418,25.3953762265931
data/raw/target_domain/train_bearing_a_to_p/N.mat,target,103.57584660398464,-20.274683082669515
data/raw/target_domain/train_bearing_a_to_p/O.mat,target,-15.767508912563528,4.3631825495539935
data/raw/target_domain/train_bearing_a_to_p/P.mat,target,23.805176781522015,24.106582312850794
