window_id,mech_bpfo_h1_h3_energy_ratio,mech_bpfi_h1_h3_energy_ratio,mech_bsf_h1_h3_energy_ratio,mech_bpfi_fr_sideband_energy_ratio,mech_bsf_ftf_sideband_energy_ratio
WIN-7903ddfdfcd489ea8e7f,0.0019422552190603746,0.016457586068839274,0.003967771488687852,0.0066812524509757935,0.0021574582980418964
WIN-891173c04174ac17a6fb,0.0010071173529688307,0.017627600591645,0.006669127833527934,0.00978078940808083,0.0016188426557029324
WIN-ab17f14a1876d835f17f,0.00085062815198367,0.020280268847645132,0.01123612863558987,0.014597055464439734,0.0027154705433870795
WIN-eca284a71e0c1ac11041,0.0011945913368672212,0.021028329955294394,0.0035186925235355885,0.007068316043350035,0.0021658569793953563
WIN-2716e506699e08232ff4,0.0010309506871566904,0.010665539632811303,0.0037507149757382025,0.0060604760548518535,0.0014790084448522134
WIN-7f96935775ac95b47312,0.0012793172327315663,0.01139850563609674,0.004123751802626725,0.005485391067896164,0.0016988085196636775
WIN-504f12d19ee97d5f4b97,0.0014419646180711069,0.017562237154308616,0.0031311070009107556,0.006441878457856585,0.0020054022125386498
WIN-ddf026a9aa9e93933961,0.0010473409950632932,0.01330979282245984,0.005797691674106462,0.007723002576658232,0.0022348501905761846
WIN-7d37f2d28f462c58c7ea,0.0010152000715253694,0.009139150914530818,0.002396558310435409,0.0035015404419550785,0.0012550457436964818
WIN-9635e7302773fb6d7204,0.0014440056048424584,0.01784325248018847,0.006422532226996848,0.009491420231088602,0.0016526300996344836
WIN-80cf8cdf1be7194dc98f,0.0010376326066961644,0.018136213206751926,0.011730333773673109,0.014203594160302976,0.0022178455440871104
WIN-f5636ea33223eed9d925,0.0014808799840982216,0.020883626370095405,0.004704982831548047,0.009379007498645833,0.0022520523917107255
WIN-b8f7e3b7bbb386cf66e0,0.0014276836868074888,0.022660686885131533,0.006953120980122759,0.013207219885090216,0.0025925429617532987
WIN-e69b8a5f43efd3e341c0,0.00240571617790332,0.022134100260767384,0.007322133143822264,0.012371922316077153,0.0026481124610993343
WIN-8fddd937f14d9d075c10,0.001786834519960752,0.021713657818296584,0.003283515695761384,0.007781578972976096,0.0019747275715388383
WIN-d473bf538145c5cb6764,0.008682948314521443,0.03791168266817989,0.008873548260041289,0.03422427078481499,0.009156549911862792
WIN-645927b5904522565940,0.008163988694195594,0.03898323940842839,0.009180460565082834,0.03762426823108565,0.009440627319728216
WIN-d542115139eb558ed2f3,0.0027852127696134325,0.013544347025658796,0.0025677351212279576,0.01142097543628185,0.002466358562734101
WIN-278af3809b54154a0f5e,0.0031016020656767646,0.012691440904750596,0.003093448011630215,0.011769503052009998,0.0022454093107559777
WIN-e92d52863a4e0f15de93,0.007722907047708741,0.031145793450462346,0.007952022481837653,0.03202137348477988,0.005848636677548641
WIN-e4e32ea1ca545610d69e,0.008847594522096831,0.03018159204426073,0.010862702835188162,0.037511324653334774,0.007391634720348975
WIN-f70b348fbf07a3e841c9,0.011087240617831477,0.04056421057586286,0.009523352678941591,0.04408806076999003,0.009293460471658105
WIN-2d6addfdc68ea4b01135,0.009929438048289467,0.03745629203297695,0.011025145425261262,0.04502164532707391,0.00903851326094153
WIN-cc2d1358a3ab2b7ee442,0.010620222894927617,0.03239394863891843,0.010969226853330877,0.04450734701080251,0.010618277570536993
WIN-8ce4a63029b888f10682,0.00941972510175061,0.0416542824274325,0.00954799920010354,0.04100135505600775,0.009251507261895352
WIN-e3f967093ebd831492ce,0.009373726389313034,0.046106244627921664,0.008203392653780882,0.041389367508525364,0.00814680652690683
WIN-c932afcccfe487deef11,0.008815510032750882,0.038084213828001194,0.01202051172788951,0.04007513577672891,0.007608959301740875
WIN-ca596ac1d7ec980606e5,0.011713273247176852,0.030695095047450743,0.010029919242988168,0.041849209824605486,0.007521457259883257
WIN-ee38cce142716519a1ef,0.010557622336775586,0.03815951762742447,0.012518200186875179,0.048470420179720114,0.008716849078159825
WIN-95891b5a79c5a82166e5,0.013205994688551942,0.03927185905245986,0.01398049957007391,0.05276760322546818,0.01026592474197771
WIN-bed73ae248b507641f53,0.02441094646215998,0.04350413735746834,0.004814171999061829,0.030491757450297034,0.014513570943566288
WIN-ca1b4f5413162000e2fb,0.022956972999009964,0.03679239526251975,0.0054522380866657135,0.029182252330706034,0.014115550257531724
WIN-4efaf5f5787c4d068504,0.02510792652827702,0.04855490271165914,0.005654637226543884,0.03266658426637765,0.014213624422110277
WIN-2b5daa9a57e8986f6af4,0.023368603265085084,0.04335386018137161,0.005182414676934704,0.028223993247702615,0.012246444019055877
WIN-17ffaa42ab4e1a7a0bf2,0.008374197578133296,0.01583727148374979,0.0018419179084754843,0.011426614217016679,0.004885739846089911
WIN-c8d2aba8f8ee0fe3a0ce,0.006363608202345452,0.009721128925389642,0.0013124608412842383,0.007945100598745428,0.0038644096732844313
WIN-a3baec2d813e5b5bf25b,0.008941559341376531,0.013452937722150301,0.0015175895943708602,0.012199895401206385,0.005216414133884363
WIN-b2c0b1e6ee7c316790e6,0.011898143378863562,0.018501530345410952,0.0019689223629850393,0.014807752009112142,0.0063127018034791855
WIN-c2ffe1f0417325d8f0d4,0.01973456514985045,0.03540451832074975,0.0035223328454462364,0.02805849678952846,0.010293287602705722
WIN-95387c7be4fc1e44a8da,0.019550794280236906,0.037940396471800156,0.00384895889552258,0.02681188111644979,0.009641213813103514
WIN-691dcda830149b752ed4,0.024091035647711763,0.03912430238540363,0.003761014158881861,0.03144559335410639,0.01323685460687756
WIN-17d94a9334029dfa613a,0.022121948674203182,0.03996519280910547,0.00477810217762777,0.030006550722016096,0.013725359522289926
WIN-ce1088821854c23b82d0,0.023889962268292184,0.039493943501942005,0.004210041272730499,0.03045788422842663,0.014532773070033195
WIN-493587db7c0f397b1294,0.020266506477584368,0.039027664694204704,0.004006255988493193,0.027018836743999165,0.012624925687617309
WIN-5759020dae18cf676691,0.02266729120195359,0.04011489797802605,0.004527984020036397,0.030393501188853398,0.012575744172597578
WIN-48bfb74691fab45b7368,0.008332860087558064,0.03374913138065449,0.005925273025547319,0.04965402817268221,0.01914728693330069
WIN-329a0ec73e2cb6f6befe,0.008072145376801936,0.03693428534921364,0.004662994710532631,0.04701521334866883,0.018008846455405923
WIN-b5f69035b70f0781318b,0.008418524829142581,0.03421701336979898,0.00464325904758625,0.048292859212603234,0.018817078330576165
WIN-1700c07dd64b07a5c56f,0.007774807305405343,0.030779702935128,0.004892369375048354,0.049692569480182164,0.018996948448887843
WIN-c1455f1c48534c1d9942,0.008507906746061479,0.036349803005397946,0.005089514250208716,0.04830738669032091,0.020289864643762263
WIN-d590c1261a8f8a71666e,0.008798487929213452,0.0372530175140115,0.004959187166813299,0.05272614183973167,0.01853207089253449
