group_id,class_label,window_start_s,window_end_s,window_pred_label,score_OR,score_IR,score_B,score_N
source_domain/cwru_12khz_fe/IR007_0.mat,IR,0.0,1.0,OR,0.8356172823574839,0.1642842636794081,9.049616002981305e-05,7.957803078038723e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,0.5,1.5,OR,0.8628897480449664,0.1368142189586561,0.0002896275562946,6.405440082634422e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,1.0,2.0,OR,0.7720449849913521,0.2279079492288251,3.874466978384408e-05,8.321110038948297e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,1.5,2.5,OR,0.9041677918900768,0.095796327494943,2.991309187741484e-05,5.967523102671768e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,2.0,3.0,OR,0.9006107577558834,0.0993348721287091,4.601328528827942e-05,8.356830119220697e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,2.5,3.5,OR,0.6787315330584244,0.321197030990228,6.063624542197842e-05,1.0799705925588888e-05
source_domain/cwru_12khz_fe/IR007_0.mat,IR,3.0,4.0,OR,0.7221484065301347,0.2778027965608984,3.967875810001879e-05,9.118150866771116e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,3.5,4.5,OR,0.7543681534199772,0.245589356724139,3.3342371639258376e-05,9.147484244417111e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,4.0,5.0,OR,0.5443636295540175,0.4555218361978297,0.0001087935440894,5.740704063304517e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,4.5,5.5,IR,0.3515285259084469,0.6483385599815902,0.0001275340161853,5.380093777638748e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,5.0,6.0,OR,0.5076048639119126,0.4922646678951612,0.0001239400693177,6.528123608459879e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,5.5,6.5,OR,0.6102283872319658,0.3896861689634872,8.0086608196963e-05,5.357196350080238e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,6.0,7.0,OR,0.720440590291578,0.2794904692963425,6.429065750256843e-05,4.649754576902705e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,6.5,7.5,OR,0.637337424786453,0.3625991855255548,5.952268568639689e-05,3.867002305710804e-06
source_domain/cwru_12khz_fe/IR007_0.mat,IR,7.0,8.0,OR,0.9041224284579888,0.0958383851793493,3.667816970245707e-05,2.5081929593381884e-06
source_domain/cwru_48khz_normal/N_0.mat,N,0.0,1.0,OR,0.9833836527770354,0.0086023015913018,1.7605458159174226e-05,0.0079964401735036
source_domain/cwru_48khz_normal/N_0.mat,N,0.5,1.5,OR,0.9652834825948592,0.0030192913424823,7.363028370565891e-05,0.0316235957789527
source_domain/cwru_48khz_normal/N_0.mat,N,1.0,2.0,OR,0.976020917164734,0.0037926150703696,4.336167546273968e-05,0.0201431060894335
source_domain/cwru_48khz_normal/N_0.mat,N,1.5,2.5,OR,0.9719349372183992,0.0011915736005183,0.0001076997293844,0.0267657894516979
source_domain/cwru_48khz_normal/N_0.mat,N,2.0,3.0,OR,0.9922693273008898,0.0021249500141208,1.6013067795309443e-05,0.0055897096171941
source_domain/cwru_48khz_normal/N_0.mat,N,2.5,3.5,OR,0.987933047106524,0.0016374527053821,5.7496017070845286e-05,0.010372004171023
source_domain/cwru_48khz_normal/N_0.mat,N,3.0,4.0,OR,0.9883428344084758,0.0062146650073908,1.5025800481271287e-05,0.0054274747836519
source_domain/cwru_48khz_normal/N_0.mat,N,3.5,4.5,OR,0.9887789173416298,0.0042102989700165,1.1884642803544012e-05,0.00699889904555
source_domain/cwru_48khz_normal/N_0.mat,N,4.0,5.0,OR,0.9778177511225108,0.0031845994420102,2.348267445550821e-05,0.0189741667610233
