record_id,std,rms,peak_abs,ptp,skewness,kurtosis,crest_factor,impulse_factor,shape_factor,clearance_factor,dominant_freq_0_6k,spectral_centroid_0_6k,f95_0_6k,spectral_entropy_0_6k,energy_0_500,energy_500_1500,energy_1500_3000,energy_3000_6000
A,3.444871931406912,3.444871931406912,15.557982133886764,29.786021862597657,0.01717307047433924,3.1538627472212353,4.516520985813255,5.693717842105137,1.260586628855517,6.738613182393429,1328.125,2625.4641561210556,5378.90625,0.9154375184100767,0.027525481098392555,0.1850462595143472,0.4557498561108036,0.3231923342986067
B,1.4508544004707749,1.4508544004707749,10.374726485123272,19.468608204199217,0.00746056425068542,4.396061711645164,7.1616803357491765,9.286113525597246,1.2968685588142999,11.120424666854953,273.4375,2618.0929116746097,5236.328125,0.9359967080858497,0.1436366050651034,0.07230841022240933,0.38406513754647265,0.39720938889467466
C,30.857738932940677,30.857738932940677,342.1716756063828,671.8337835336913,0.05376471592676724,28.968271385553134,11.092476425554654,21.999406343492065,1.9833867606301192,31.369860868398213,1955.078125,3241.0790238174914,5810.546875,0.9267033569031982,0.007858528137270919,0.0797577049846376,0.45092468742093833,0.45552348460099945
D,8.298115168527845,8.298115168527845,35.80643027421126,69.08795991972656,0.012951210587612479,3.069435237122473,4.314266794113714,5.421499469970842,1.2566191647419709,6.403732649903921,4277.34375,3924.9089915882537,5791.015625,0.9351234972287652,0.013342134548112422,0.038810759201149785,0.27371900277163913,0.6693986179163685
E,15.698363735485614,15.698363735485614,179.64381720732905,357.50554312060547,-0.062129573421901174,42.121113268803335,11.444571599548201,26.36743204514905,2.3039484673244095,39.79836391211102,1699.21875,3040.328039401223,5685.546875,0.919179647917897,0.01727553692276631,0.13680739599146413,0.3930626620409365,0.432932767308694
F,5.7654005201304726,5.7654005201304726,23.723387880494435,46.258073916796874,0.008705735417512987,3.0783111045978178,4.114703499235711,5.175178352535052,1.2577107876817244,6.1180215610856425,2648.4375,3359.914140176998,5708.984375,0.9376697877972027,0.014936709773181584,0.08879950036104617,0.399072031579377,0.49360139566588024
G,1.6238155578462397,1.6238155578462397,9.99163124115588,19.065581495214843,-0.03201075541194398,4.264016320771857,6.155979980259051,8.000414699123578,1.2996314614742424,9.599030577217317,222.65625,2509.518138393531,5232.421875,0.9218338071226967,0.21267035021790678,0.09767790200214259,0.3048846567011001,0.38251345998130537
H,10.872004648688337,10.872004648688337,67.69301037145145,126.0655980588867,-0.25094945424165527,4.834439169123905,6.226713966505951,8.154692577007994,1.3096013273769236,9.799530711367758,1984.375,2641.6121353388808,5503.90625,0.8299917373677509,0.019934609009781872,0.177639551449983,0.48536830199962727,0.3143393291912089
I,29.943644255708048,29.943644255708048,297.70826578908657,589.5052397124023,0.0030675413849443472,20.880695632863542,9.946702579037938,16.24526765411262,1.6333716696643208,21.051514167197215,2140.625,3528.6613937085563,5849.609375,0.9489709202297852,0.012007312172922042,0.07616222837955988,0.3626917016953565,0.5424709708581456
J,30.26715870970748,30.26715870970748,414.0002811107797,801.0775801280273,0.26713073276366406,36.422485924617526,13.679608208852786,26.817028155176097,1.9603936190697755,37.41683904286444,2205.078125,3177.083052458408,5710.9375,0.9378825672548273,0.011604847236543326,0.09464283395547457,0.4582151934850688,0.43089888898472367
K,10.322274088011147,10.322274088011147,57.928528420305256,109.678216659375,-0.02809793430775913,3.526466329829066,5.612160671651528,7.161781452532671,1.2762138208860359,8.524349597021036,1984.375,2345.4649682402287,5380.859375,0.7857928184684994,0.03418533123340428,0.2555466476772733,0.46224159596055675,0.24446955988593205
L,1.8413617215218911,1.8413617215218911,9.920860626665274,19.37335371767578,0.006440927203342983,3.6325914527945615,5.38792609875228,6.889053083877789,1.2785277678267104,8.205736980597452,1128.90625,2814.058394740634,5300.78125,0.9427111647773991,0.11347451857587681,0.04699579228971269,0.38312463502257993,0.45199582203563327
M,9.9942704744901,9.9942704744901,47.70398983618037,90.98541734707031,-0.06679690059973506,3.325968515495834,4.773665353843693,6.0733544776900015,1.2721518682460409,7.226504199841162,1957.03125,2364.5238659075612,5414.0625,0.8192733156830642,0.035033317025216046,0.27900774003094186,0.42086270730046565,0.26260698229021573
N,9.119341407445221,9.119341407445221,151.71167277572556,294.0980168663086,-0.17226998779323383,31.0879315521685,16.68072853876347,25.37312042308513,1.5232259114091256,31.569025595475562,2066.40625,2825.3557522983247,5394.53125,0.8793889119645071,0.01266170113295433,0.08959737372867602,0.5398109633633896,0.3519127614999245
O,1.469514845861275,1.469514845861275,8.460898572798381,16.26805044785156,0.024812542211639355,3.963812970102124,5.743724834235883,7.410148341734687,1.2890549756655743,8.859393881997224,207.03125,2314.9957994172137,5238.28125,0.9135588971886794,0.25756096419237107,0.12197622663212587,0.27364618029512944,0.3442178586559616
P,8.476216466781489,8.476216466781489,35.316401291015644,68.93445931230468,0.015905637369064335,3.107618745874702,4.166281578556272,5.247669638081321,1.2594901504052283,6.209567591906612,4830.078125,4054.5761568666917,5800.78125,0.9328096713312723,0.013801487383732203,0.03715014613276544,0.2344778299105289,0.708713768108136
