fold,record_id,role
1,source_domain/cwru_48khz_de/B007_1.mat,train
1,source_domain/cwru_48khz_de/B007_3.mat,train
1,source_domain/cwru_48khz_de/B014_1.mat,train
1,source_domain/cwru_48khz_de/B014_2.mat,train
1,source_domain/cwru_48khz_de/B014_3.mat,train
1,source_domain/cwru_48khz_de/B021_0.mat,train
1,source_domain/cwru_48khz_de/B021_1.mat,train
1,source_domain/cwru_48khz_de/B021_2.mat,train
1,source_domain/cwru_48khz_de/B021_3.mat,train
1,source_domain/cwru_48khz_de/IR007_0.mat,train
1,source_domain/cwru_48khz_de/IR007_1.mat,train
1,source_domain/cwru_48khz_de/IR007_2.mat,train
1,source_domain/cwru_48khz_de/IR007_3.mat,train
1,source_domain/cwru_48khz_de/IR014_1.mat,train
1,source_domain/cwru_48khz_de/IR014_2.mat,train
1,source_domain/cwru_48khz_de/IR014_3.mat,train
1,source_domain/cwru_48khz_de/IR021_0.mat,train
1,source_domain/cwru_48khz_de/IR021_3.mat,train
1,source_domain/cwru_48khz_de/OR007@12_0.mat,train
1,source_domain/cwru_48khz_de/OR007@12_1.mat,train
1,source_domain/cwru_48khz_de/OR007@12_2.mat,train
1,source_domain/cwru_48khz_de/OR007@12_3.mat,train
1,source_domain/cwru_48khz_de/OR007@3_0.mat,train
1,source_domain/cwru_48khz_de/OR007@3_1.mat,train
1,source_domain/cwru_48khz_de/OR007@3_2.mat,train
1,source_domain/cwru_48khz_de/OR007@3_3.mat,train
1,source_domain/cwru_48khz_de/OR007@6_0.mat,train
1,source_domain/cwru_48khz_de/OR007@6_1.mat,train
1,source_domain/cwru_48khz_de/OR007@6_2.mat,train
1,source_domain/cwru_48khz_de/OR007@6_3.mat,train
1,source_domain/cwru_48khz_de/OR014@6_0.mat,train
1,source_domain/cwru_48khz_de/OR014@6_1.mat,train
1,source_domain/cwru_48khz_de/OR014@6_2.mat,train
1,source_domain/cwru_48khz_de/OR021@12_0.mat,train
1,source_domain/cwru_48khz_de/OR021@12_1.mat,train
1,source_domain/cwru_48khz_de/OR021@3_0.mat,train
1,source_domain/cwru_48khz_de/OR021@3_1.mat,train
1,source_domain/cwru_48khz_de/OR021@6_1.mat,train
1,source_domain/cwru_48khz_de/OR021@6_3.mat,train
1,source_domain/cwru_48khz_normal/N_0.mat,train
1,source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,train
1,source_domain/cwru_48khz_normal/N_3.mat,train
1,source_domain/cwru_48khz_de/B007_0.mat,validation
1,source_domain/cwru_48khz_de/B007_2.mat,validation
1,source_domain/cwru_48khz_de/B014_0.mat,validation
1,source_domain/cwru_48khz_de/IR014_0.mat,validation
1,source_domain/cwru_48khz_de/IR021_1.mat,validation
1,source_domain/cwru_48khz_de/IR021_2.mat,validation
1,source_domain/cwru_48khz_de/OR014@6_3.mat,validation
1,source_domain/cwru_48khz_de/OR021@12_2.mat,validation
1,source_domain/cwru_48khz_de/OR021@12_3.mat,validation
1,source_domain/cwru_48khz_de/OR021@3_2.mat,validation
1,source_domain/cwru_48khz_de/OR021@3_3.mat,validation
1,source_domain/cwru_48khz_de/OR021@6_0.mat,validation
1,source_domain/cwru_48khz_de/OR021@6_2.mat,validation
1,source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,validation
2,source_domain/cwru_48khz_de/B007_0.mat,train
2,source_domain/cwru_48khz_de/B007_1.mat,train
2,source_domain/cwru_48khz_de/B007_2.mat,train
2,source_domain/cwru_48khz_de/B014_0.mat,train
2,source_domain/cwru_48khz_de/B014_3.mat,train
2,source_domain/cwru_48khz_de/B021_0.mat,train
2,source_domain/cwru_48khz_de/B021_1.mat,train
2,source_domain/cwru_48khz_de/B021_2.mat,train
2,source_domain/cwru_48khz_de/B021_3.mat,train
2,source_domain/cwru_48khz_de/IR007_1.mat,train
2,source_domain/cwru_48khz_de/IR007_2.mat,train
2,source_domain/cwru_48khz_de/IR014_0.mat,train
2,source_domain/cwru_48khz_de/IR014_1.mat,train
2,source_domain/cwru_48khz_de/IR014_2.mat,train
2,source_domain/cwru_48khz_de/IR021_0.mat,train
2,source_domain/cwru_48khz_de/IR021_1.mat,train
2,source_domain/cwru_48khz_de/IR021_2.mat,train
2,source_domain/cwru_48khz_de/IR021_3.mat,train
2,source_domain/cwru_48khz_de/OR007@12_0.mat,train
2,source_domain/cwru_48khz_de/OR007@12_2.mat,train
2,source_domain/cwru_48khz_de/OR007@3_0.mat,train
2,source_domain/cwru_48khz_de/OR007@3_1.mat,train
2,source_domain/cwru_48khz_de/OR007@3_2.mat,train
2,source_domain/cwru_48khz_de/OR007@6_3.mat,train
2,source_domain/cwru_48khz_de/OR014@6_0.mat,train
2,source_domain/cwru_48khz_de/OR014@6_1.mat,train
2,source_domain/cwru_48khz_de/OR014@6_2.mat,train
2,source_domain/cwru_48khz_de/OR014@6_3.mat,train
2,source_domain/cwru_48khz_de/OR021@12_0.mat,train
2,source_domain/cwru_48khz_de/OR021@12_1.mat,train
2,source_domain/cwru_48khz_de/OR021@12_2.mat,train
2,source_domain/cwru_48khz_de/OR021@12_3.mat,train
2,source_domain/cwru_48khz_de/OR021@3_0.mat,train
2,source_domain/cwru_48khz_de/OR021@3_2.mat,train
2,source_domain/cwru_48khz_de/OR021@3_3.mat,train
2,source_domain/cwru_48khz_de/OR021@6_0.mat,train
2,source_domain/cwru_48khz_de/OR021@6_1.mat,train
