record_id,relative_path,filename,label,fs,rpm,signal_var,window_index,window_start,window_length,mean,std,rms,peak_abs,ptp,skewness,kurtosis,crest_factor,impulse_factor,shape_factor,clearance_factor,dominant_freq_0_6k,spectral_centroid_0_6k,f95_0_6k,spectral_entropy_0_6k,energy_0_500,energy_500_1500,energy_1500_3000,energy_3000_6000
A,target_domain/train_bearing_a_to_p/A.mat,A.mat,UNKNOWN,32000,,A,0,0,32000,-1.021405182655144e-17,3.401648516191155,3.401648516191155,15.119901771356952,29.355344016796877,0.036398088251889976,3.153530876007167,4.444874800963372,5.598754223080274,1.2595977330711694,6.61421318569715,1328.125,2605.6435052805855,5375.0,0.9128969260305814,0.02814749973915144,0.19657769135635475,0.44650049642215384,0.32248680977955785
A,target_domain/train_bearing_a_to_p/A.mat,A.mat,UNKNOWN,32000,,A,1,64000,32000,5.2402526762307386e-17,3.49586340138014,3.49586340138014,15.36958836126682,30.21817163203125,-0.023417499674868256,3.0732771699701398,4.396507127593894,5.524328952229435,1.256526781807173,6.525184232967855,1328.125,2609.971611066706,5375.0,0.9101680076186187,0.027312845815219106,0.18436333227918247,0.4653670036379818,0.3121822149182516
A,target_domain/train_bearing_a_to_p/A.mat,A.mat,UNKNOWN,32000,,A,2,128000,32000,-4.1744385725905886e-17,3.4673860691280325,3.4673860691280325,16.015810916056925,29.10974304492187,0.023207826305573276,3.1714505119592338,4.618986924660487,5.8223224199625205,1.260519355202289,6.8900608012949,1328.125,2658.8275490856554,5382.8125,0.9170611883727118,0.02740818850237982,0.16228240033282595,0.47233469317162363,0.3308045941599901
A,target_domain/train_bearing_a_to_p/A.mat,A.mat,UNKNOWN,32000,,A,3,224000,32000,-4.796163466380676e-17,3.414589738928321,3.414589738928321,15.726627486866358,30.460828756640623,0.03250386701476197,3.2171924309484012,4.605715090035267,5.829465773148317,1.2657026453414364,6.924994509613811,1328.125,2627.4139590512764,5382.8125,0.9216239516183948,0.027233390336819853,0.1969616140890256,0.43879723121145514,0.32729571833662746
B,target_domain/train_bearing_a_to_p/B.mat,B.mat,UNKNOWN,32000,,B,0,0,32000,-1.3322676295501879e-18,1.5404580010774593,1.5404580010774593,10.119093689275623,19.248415437890625,0.001109684025624754,4.559699934161372,6.568886449478885,8.586490754249693,1.3071455596443275,10.325127647775773,273.4375,2658.044987993943,5250.0,0.937274535865006,0.14057933942086395,0.06482585017586344,0.385979556375437,0.40553357480145774
B,target_domain/train_bearing_a_to_p/B.mat,B.mat,UNKNOWN,32000,,B,1,64000,32000,-9.992007221626408e-18,1.417667748396122,1.417667748396122,9.81985482382562,18.37998049453125,-0.007891213805203698,4.169073778082206,6.926767456569696,8.95221889710211,1.2924093313692897,10.710405510829583,273.4375,2604.5438640690045,5226.5625,0.933930352744628,0.14740498223020135,0.07362325038268225,0.3805493625301692,0.3964040728519395
B,target_domain/train_bearing_a_to_p/B.mat,B.mat,UNKNOWN,32000,,B,2,128000,32000,2.886579864025407e-17,1.40978004902317,1.40978004902317,10.386555168317383,18.359513746875,-0.007930862417593184,4.126232491814038,7.367500466123641,9.517768620206338,1.2918585704830359,11.387099813663735,273.4375,2623.047099127895,5210.9375,0.9360174412501852,0.13901903320689665,0.07307102333030908,0.3855564295720358,0.39955896337771163
B,target_domain/train_bearing_a_to_p/B.mat,B.mat,UNKNOWN,32000,,B,3,224000,32000,-3.7747582837255325e-18,1.4355118033863485,1.4355118033863485,11.17340225907446,21.8865231375,0.04455464919991381,4.729240642523038,7.783566970824486,10.087975830830842,1.2960607737605463,12.059065695150725,273.4375,2586.7356955075966,5257.8125,0.9367645024835797,0.1475430654024516,0.07771351700078258,0.38417520170824865,0.38734094454758977
C,target_domain/train_bearing_a_to_p/C.mat,C.mat,UNKNOWN,32000,,C,0,0,32000,-6.128431095930865e-17,32.30942932292812,32.30942932292812,347.4002416807783,667.1830305410156,0.1627802715861025,27.75375534458247,10.752286529376669,21.547930321577798,2.0040323760630203,31.048223350806584,1945.3125,3286.839455653819,5875.0,0.9296224953838057,0.00857883383026227,0.07567439074066963,0.43622110389264074,0.4744361776869762
C,target_domain/train_bearing_a_to_p/C.mat,C.mat,UNKNOWN,32000,,C,1,64000,32000,-6.039613253960852e-17,30.82665925986832,30.82665925986832,347.31900038947816,684.2046357972656,0.02933329950886528,28.36094853691605,11.266838792409274,22.15192865992142,1.9661174769665615,31.567938433464064,1945.3125,3283.122079038591,5890.625,0.928997196733175,0.0064702010543347946,0.0779111126063005,0.4421186403458235,0.465220778249896
C,target_domain/train_bearing_a_to_p/C.mat,C.mat,UNKNOWN,32000,,C,2,128000,32000,9.50350909079134e-17,30.37339751985699,30.37339751985699,349.43475713445565,690.2598492562499,-0.033185032610093125,30.622374924024374,11.504631870899422,22.890548145362192,1.9896810608310127,32.492422024739945,1945.3125,3214.770133657865,5757.8125,0.9281519902427982,0.009475729927545279,0.08402564361384855,0.44887103028842146,0.4520175864199289
