record_id,relative_path,filename,label,fs,rpm,signal_var,signal_length,duration_s
source_domain/cwru_48khz_de/B007_0.mat,source_domain/cwru_48khz_de/B007_0.mat,B007_0.mat,B,48000,1796.0,X122_DE_time,192000,4.0
source_domain/cwru_48khz_de/B007_1.mat,source_domain/cwru_48khz_de/B007_1.mat,B007_1.mat,B,48000,1772.0,X123_DE_time,192000,4.0
source_domain/cwru_48khz_de/B007_2.mat,source_domain/cwru_48khz_de/B007_2.mat,B007_2.mat,B,48000,1747.0,X124_DE_time,192000,4.0
source_domain/cwru_48khz_de/B007_3.mat,source_domain/cwru_48khz_de/B007_3.mat,B007_3.mat,B,48000,1721.0,X125_DE_time,192000,4.0
source_domain/cwru_48khz_de/B014_0.mat,source_domain/cwru_48khz_de/B014_0.mat,B014_0.mat,B,48000,1797.0,X189_DE_time,192000,4.0
source_domain/cwru_48khz_de/B014_1.mat,source_domain/cwru_48khz_de/B014_1.mat,B014_1.mat,B,48000,1772.0,X190_DE_time,192000,4.0
source_domain/cwru_48khz_de/B014_2.mat,source_domain/cwru_48khz_de/B014_2.mat,B014_2.mat,B,48000,1748.0,X191_DE_time,192000,4.0
source_domain/cwru_48khz_de/B014_3.mat,source_domain/cwru_48khz_de/B014_3.mat,B014_3.mat,B,48000,1725.0,X192_DE_time,192000,4.0
source_domain/cwru_48khz_de/B021_0.mat,source_domain/cwru_48khz_de/B021_0.mat,B021_0.mat,B,48000,1797.0,X226_DE_time,192000,4.0
source_domain/cwru_48khz_de/B021_1.mat,source_domain/cwru_48khz_de/B021_1.mat,B021_1.mat,B,48000,1774.0,X227_DE_time,192000,4.0
source_domain/cwru_48khz_de/B021_2.mat,source_domain/cwru_48khz_de/B021_2.mat,B021_2.mat,B,48000,1754.0,X228_DE_time,192000,4.0
source_domain/cwru_48khz_de/B021_3.mat,source_domain/cwru_48khz_de/B021_3.mat,B021_3.mat,B,48000,1729.0,X229_DE_time,192000,4.0
source_domain/cwru_48khz_de/IR007_0.mat,source_domain/cwru_48khz_de/IR007_0.mat,IR007_0.mat,IR,48000,1796.0,X109_DE_time,192000,4.0
source_domain/cwru_48khz_de/IR007_1.mat,source_domain/cwru_48khz_de/IR007_1.mat,IR007_1.mat,IR,48000,1772.0,X110_DE_time,192000,4.0
source_domain/cwru_48khz_de/IR007_2.mat,source_domain/cwru_48khz_de/IR007_2.mat,IR007_2.mat,IR,48000,1748.0,X111_DE_time,192000,4.0
source_domain/cwru_48khz_de/IR007_3.mat,source_domain/cwru_48khz_de/IR007_3.mat,IR007_3.mat,IR,48000,1721.0,X112_DE_time,192000,4.0
source_domain/cwru_48khz_de/IR014_0.mat,source_domain/cwru_48khz_de/IR014_0.mat,IR014_0.mat,IR,48000,1796.0,X173_DE_time,63788,1.3289166666666667
source_domain/cwru_48khz_de/IR014_1.mat,source_domain/cwru_48khz_de/IR014_1.mat,IR014_1.mat,IR,48000,1772.0,X175_DE_time,192000,4.0
source_domain/cwru_48khz_de/IR014_2.mat,source_domain/cwru_48khz_de/IR014_2.mat,IR014_2.mat,IR,48000,1751.0,X176_DE_time,192000,4.0
source_domain/cwru_48khz_de/IR014_3.mat,source_domain/cwru_48khz_de/IR014_3.mat,IR014_3.mat,IR,48000,1726.0,X177_DE_time,192000,4.0
source_domain/cwru_48khz_de/IR021_0.mat,source_domain/cwru_48khz_de/IR021_0.mat,IR021_0.mat,IR,48000,1796.0,X213_DE_time,192000,4.0
source_domain/cwru_48khz_de/IR021_1.mat,source_domain/cwru_48khz_de/IR021_1.mat,IR021_1.mat,IR,48000,1774.0,X214_DE_time,192000,4.0
source_domain/cwru_48khz_de/IR021_2.mat,source_domain/cwru_48khz_de/IR021_2.mat,IR021_2.mat,IR,48000,1752.0,X215_DE_time,192000,4.0
source_domain/cwru_48khz_de/IR021_3.mat,source_domain/cwru_48khz_de/IR021_3.mat,IR021_3.mat,IR,48000,1727.0,X217_DE_time,192000,4.0
source_domain/cwru_48khz_de/OR007@12_0.mat,source_domain/cwru_48khz_de/OR007@12_0.mat,OR007@12_0.mat,OR,48000,1796.0,X161_DE_time,129969,2.7076875
source_domain/cwru_48khz_de/OR007@12_1.mat,source_domain/cwru_48khz_de/OR007@12_1.mat,OR007@12_1.mat,OR,48000,1772.0,X162_DE_time,192000,4.0
source_domain/cwru_48khz_de/OR007@12_2.mat,source_domain/cwru_48khz_de/OR007@12_2.mat,OR007@12_2.mat,OR,48000,1749.0,X163_DE_time,192000,4.0
source_domain/cwru_48khz_de/OR007@12_3.mat,source_domain/cwru_48khz_de/OR007@12_3.mat,OR007@12_3.mat,OR,48000,1723.0,X164_DE_time,192000,4.0
source_domain/cwru_48khz_de/OR007@3_0.mat,source_domain/cwru_48khz_de/OR007@3_0.mat,OR007@3_0.mat,OR,48000,1797.0,X148_DE_time,124602,2.595875
source_domain/cwru_48khz_de/OR007@3_1.mat,source_domain/cwru_48khz_de/OR007@3_1.mat,OR007@3_1.mat,OR,48000,1773.0,X149_DE_time,192000,4.0
