group_id,class_label,A0_pred,A0_score_OR,A0_score_IR,A0_score_B,A0_score_N,transfer_pred,transfer_score_OR,transfer_score_IR,transfer_score_B,transfer_score_N,A0_correct,transfer_correct,paired_correct_delta,load,A0_true_class_score,transfer_true_class_score,true_class_score_delta,seed
source_domain/cwru_12khz_fe/B007_0.mat,B,B,0.054140397403116707,0.028821051689220348,0.917038550907663,0.0,B,0.0557041887612063,0.018485426731078905,0.9258103845077148,0.0,1,1,0,0,0.917038550907663,0.9258103845077148,0.008771833600051848,20260919
source_domain/cwru_12khz_fe/B014_0.mat,B,B,0.006775341760635879,0.013337875433176315,0.9798867828061878,0.0,B,0.008533651870091025,0.014683183409527548,0.9767831647203814,0.0,1,1,0,0,0.9798867828061878,0.9767831647203814,-0.003103618085806392,20260919
source_domain/cwru_12khz_fe/B021_0.mat,B,B,0.047460292249507936,0.013638033615917049,0.938901674134575,0.0,B,0.05294739339553665,0.010191305921974746,0.9368613006824886,0.0,1,1,0,0,0.938901674134575,0.9368613006824886,-0.002040373452086408,20260919
source_domain/cwru_12khz_fe/IR007_0.mat,IR,OR,0.6700333657636082,0.300181716378707,0.029784917857684744,0.0,OR,0.649703302864827,0.3293497738521572,0.020946923283015784,0.0,0,0,0,0,0.300181716378707,0.3293497738521572,0.029168057473450193,20260919
source_domain/cwru_12khz_fe/IR014_0.mat,IR,IR,0.04251983876184389,0.8419286984030876,0.11555146283506859,0.0,IR,0.0742546437514915,0.8137156678838778,0.11202968836463074,0.0,1,1,0,0,0.8419286984030876,0.8137156678838778,-0.02821303051920976,20260919
source_domain/cwru_12khz_fe/IR021_0.mat,IR,IR,0.24864346405228757,0.5820439562290538,0.1693125797186586,0.0,IR,0.14233196683253452,0.7832432925357166,0.07442474063174902,0.0,1,1,0,0,0.5820439562290538,0.7832432925357166,0.20119933630666276,20260919
source_domain/cwru_12khz_fe/OR007@12_0.mat,OR,OR,0.6277779911643487,0.02062401795735129,0.3515979908783,0.0,OR,0.5941669569591109,0.02151290684624018,0.3838756917502045,0.00044444444444444447,1,1,0,0,0.6277779911643487,0.5941669569591109,-0.03361103420523781,20260919
source_domain/cwru_12khz_fe/OR007@3_0.mat,OR,OR,0.817972181721846,4.7138047138047136e-05,0.1819806802310159,0.0,OR,0.7222779291050416,4.7138047138047136e-05,0.27767493284782035,0.0,1,1,0,0,0.817972181721846,0.7222779291050416,-0.09569425261680442,20260919
source_domain/cwru_12khz_fe/OR007@6_0.mat,OR,OR,0.8562222222222222,0.05611111111111111,0.08766666666666666,0.0,OR,0.884,0.03888888888888889,0.07711111111111112,0.0,1,1,0,0,0.8562222222222222,0.884,0.02777777777777779,20260919
source_domain/cwru_12khz_fe/OR014@3_0.mat,OR,OR,0.9735555555555556,0.010444444444444445,0.016,0.0,OR,0.9817777777777777,0.005555555555555556,0.012666666666666666,0.0,1,1,0,0,0.9735555555555556,0.9817777777777777,0.00822222222222213,20260919
source_domain/cwru_12khz_fe/OR014@6_0.mat,OR,OR,0.8931818181818182,0.07166666666666667,0.03515151515151515,0.0,OR,0.9162929292929294,0.06177777777777778,0.02192929292929293,0.0,1,1,0,0,0.8931818181818182,0.9162929292929294,0.023111111111111193,20260919
source_domain/cwru_12khz_fe/OR021@6_0.mat,OR,OR,0.4806666666666667,0.2848978243978244,0.2344355089355089,0.0,OR,0.4615555555555556,0.29795337995337995,0.2404910644910645,0.0,1,1,0,0,0.4806666666666667,0.4615555555555556,-0.01911111111111108,20260919
source_domain/cwru_48khz_normal/N_0.mat,N,N,0.10726215705925851,0.03740740740740741,0.13199710220000074,0.7233333333333334,N,0.10993371345062167,0.025925925925925925,0.14080702729011907,0.7233333333333334,1,1,0,0,0.7233333333333334,0.7233333333333334,0.0,20260919
source_domain/cwru_12khz_fe/B007_1.mat,B,B,0.21969419886488575,0.008336860670194004,0.7677911626871425,0.0041777777777777785,B,0.22617214183694634,0.010000000000000002,0.7583167470519425,0.005511111111111111,1,1,0,1,0.7677911626871425,0.7583167470519425,-0.009474415635200018,20260919
source_domain/cwru_12khz_fe/B014_1.mat,B,B,0.009777777777777778,0.016358114496662492,0.9738641077255596,0.0,B,0.011557057057057058,0.023435931455109263,0.9650070114878336,0.0,1,1,0,1,0.9738641077255596,0.9650070114878336,-0.008857096237726014,20260919
source_domain/cwru_12khz_fe/B021_1.mat,B,B,0.17615734429946478,0.012888888888888889,0.8098426557005353,0.0011111111111111111,B,0.1861760097903525,0.018444444444444444,0.7947128790985364,0.0006666666666666668,1,1,0,1,0.8098426557005353,0.7947128790985364,-0.015129776601998879,20260919
source_domain/cwru_12khz_fe/IR007_1.mat,IR,IR,0.0065604413937747266,0.9855711098186994,0.007868448787525939,0.0,IR,0.01100488583821917,0.9544826510373373,0.0345124631244435,0.0,1,1,0,1,0.9855711098186994,0.9544826510373373,-0.031088458781362127,20260919
source_domain/cwru_12khz_fe/IR014_1.mat,IR,IR,0.010829712065006184,0.9754198152567347,0.013750472678259339,0.0,IR,0.04304234669991661,0.8894316502758972,0.06752600302418628,0.0,1,1,0,1,0.9754198152567347,0.8894316502758972,-0.0859881649808375,20260919
source_domain/cwru_12khz_fe/IR021_1.mat,IR,IR,0.0020842509175842514,0.9456016068216706,0.052314142260745336,0.0,IR,0.31917434100767433,0.6332255707716226,0.0476000882207033,0.0,1,1,0,1,0.9456016068216706,0.6332255707716226,-0.31237603605004804,20260919
source_domain/cwru_12khz_fe/OR007@12_1.mat,OR,OR,0.8412901506238907,0.04235978835978836,0.1161278387940988,0.00022222222222222223,OR,0.8365018437455838,0.04702645502645502,0.11624947900573902,0.00022222222222222223,1,1,0,1,0.8412901506238907,0.8365018437455838,-0.004788306878306892,20260919
source_domain/cwru_12khz_fe/OR007@3_1.mat,OR,OR,0.8559538840722027,0.002804232804232804,0.13857521645689788,0.0026666666666666666,OR,0.6738509669651193,0.003393298059964726,0.10875573497491603,0.214,1,1,0,1,0.8559538840722027,0.6738509669651193,-0.18210291710708348,20260919
