group_id,class_label,A0_pred,A0_score_OR,A0_score_IR,A0_score_B,A0_score_N,transfer_pred,transfer_score_OR,transfer_score_IR,transfer_score_B,transfer_score_N,A0_correct,transfer_correct,paired_correct_delta,load,A0_true_class_score,transfer_true_class_score,true_class_score_delta
source_domain/cwru_12khz_fe/B007_3.mat,B,B,0.12378095238095238,0.0013333333333333335,0.8739968253968253,0.0008888888888888889,B,0.1575666666666667,0.0013333333333333335,0.8402111111111111,0.0008888888888888889,1,1,0,3,0.8739968253968253,0.8402111111111111,-0.0337857142857142
source_domain/cwru_12khz_fe/B014_3.mat,B,B,0.00421536560752247,0.006329622803254751,0.9894550115892229,0.0,B,0.003400673400673401,0.006853801169590643,0.989745525429736,0.0,1,1,0,3,0.9894550115892229,0.989745525429736,0.0002905138405131513
source_domain/cwru_12khz_fe/B021_3.mat,B,B,0.26728194408413825,0.056535071135765017,0.6761829847800968,0.0,B,0.2289753659062735,0.04788745769615789,0.7231371763975686,0.0,1,1,0,3,0.6761829847800968,0.7231371763975686,0.04695419161747183
source_domain/cwru_12khz_fe/IR007_3.mat,IR,IR,0.04406975995650953,0.8766635416798022,0.07926669836368805,0.0,IR,0.028766108465938005,0.9009303202430247,0.07030357129103697,0.0,1,1,0,3,0.8766635416798022,0.9009303202430247,0.024266778563222458
source_domain/cwru_12khz_fe/IR014_3.mat,IR,IR,0.025638911208485878,0.9124877609004807,0.06187332789103314,0.0,IR,0.018893541265206214,0.9373612941405405,0.04374516459425291,0.0,1,1,0,3,0.9124877609004807,0.9373612941405405,0.02487353324005981
source_domain/cwru_12khz_fe/IR021_3.mat,IR,IR,0.05544927455254862,0.8882188416608792,0.05633188378657219,0.0,IR,0.04423001432483871,0.9104280342507917,0.04534195142436955,0.0,1,1,0,3,0.8882188416608792,0.9104280342507917,0.022209192589912496
source_domain/cwru_12khz_fe/OR007@12_3.mat,OR,OR,0.8686480463980465,0.04058730158730159,0.09076465201465202,0.0,OR,0.8538968253968254,0.03934920634920635,0.10675396825396825,0.0,1,1,0,3,0.8686480463980465,0.8538968253968254,-0.01475122100122106
source_domain/cwru_12khz_fe/OR007@3_3.mat,OR,OR,0.8984285714285715,0.012682539682539682,0.07888888888888888,0.01,OR,0.8822698412698412,0.014841269841269841,0.09333333333333332,0.009555555555555557,1,1,0,3,0.8984285714285715,0.8822698412698412,-0.01615873015873026
source_domain/cwru_12khz_fe/OR007@6_3.mat,OR,OR,0.9935555555555556,0.00022222222222222223,0.006222222222222223,0.0,OR,0.984,0.0024444444444444444,0.013555555555555555,0.0,1,1,0,3,0.9935555555555556,0.984,-0.00955555555555565
source_domain/cwru_12khz_fe/OR014@3_3.mat,OR,OR,0.9817777777777777,0.010666666666666666,0.007555555555555556,0.0,OR,0.9715555555555556,0.015333333333333334,0.013111111111111112,0.0,1,1,0,3,0.9817777777777777,0.9715555555555556,-0.010222222222222133
source_domain/cwru_12khz_fe/OR021@3_3.mat,OR,OR,0.8668246083569066,0.05031493629826471,0.07952712201149546,0.0033333333333333335,OR,0.8221719129761206,0.05627949285640077,0.11821526083414535,0.0033333333333333335,1,1,0,3,0.8668246083569066,0.8221719129761206,-0.04465269538078598
source_domain/cwru_48khz_normal/N_3.mat,N,N,0.01688888888888889,0.004888888888888889,0.05988888888888889,0.9183333333333333,N,0.03762962962962963,0.006000000000000001,0.08144444444444444,0.8749259259259259,1,1,0,3,0.9183333333333333,0.8749259259259259,-0.04340740740740745
