seed,load,A0_macro_f1,transfer_macro_f1,macro_delta,A0_min_recall,transfer_min_recall,max_class_share
20260919,0,0.9307692307692308,0.9307692307692308,0.0,0.6666666666666666,0.6666666666666666,0.5384615384615384
20260919,1,0.9365079365079365,0.9365079365079365,0.0,0.8,0.8,0.3333333333333333
20260919,2,0.9365079365079365,0.9365079365079365,0.0,0.8,0.8,0.3333333333333333
20260919,3,1.0,1.0,0.0,1.0,1.0,0.4166666666666667
20260920,0,0.9307692307692308,0.9307692307692308,0.0,0.6666666666666666,0.6666666666666666,0.5384615384615384
20260920,1,0.9365079365079365,0.9365079365079365,0.0,0.8,0.8,0.3333333333333333
20260920,2,0.9365079365079365,0.9365079365079365,0.0,0.8,0.8,0.3333333333333333
20260920,3,1.0,1.0,0.0,1.0,1.0,0.4166666666666667
20260921,0,0.9307692307692308,0.9307692307692308,0.0,0.6666666666666666,0.6666666666666666,0.5384615384615384
20260921,1,0.9365079365079365,0.9365079365079365,0.0,0.8,0.8,0.3333333333333333
20260921,2,0.9365079365079365,0.9365079365079365,0.0,0.8,0.8,0.3333333333333333
20260921,3,1.0,1.0,0.0,1.0,1.0,0.4166666666666667
