feature_i,feature_j,spearman_rho
td_rms,td_rms,1.0
td_rms,td_std,1.0
td_rms,td_peak_abs,0.8857142857142857
td_rms,td_ptp,0.8964456596035544
td_rms,td_skewness,0.24107997265892003
td_rms,td_kurtosis,0.37334244702665753
td_rms,td_crest_factor,0.22419685577580314
td_rms,td_impulse_factor,0.3216678058783322
td_rms,td_shape_factor,0.5750512645249487
td_rms,td_clearance_factor,0.38086124401913873
td_rms,td_zero_cross_rate,-0.16568694463431305
td_rms,fd_dominant_hz_0_6k,0.2989785190351109
td_rms,fd_centroid_hz_0_6k,0.27621326042378674
td_rms,fd_f95_hz_0_6k,-0.11800523883069915
td_rms,fd_entropy_0_6k,-0.23267259056732742
td_rms,fd_energy_ratio_0_500,-0.6384825700615174
td_rms,fd_energy_ratio_500_1500,-0.44012303485987697
td_rms,fd_energy_ratio_1500_3000,0.15365686944634313
td_rms,fd_energy_ratio_3000_6000,-0.04265208475734791
td_rms,env_rms,0.9749145591250854
td_rms,env_kurtosis,0.24012303485987696
td_rms,env_dominant_hz_0_500,-0.08902842616202361
td_rms,env_centroid_hz_0_500,-0.3764866712235133
td_rms,env_entropy_0_500,-0.728092959671907
td_rms,env_energy_ratio_0_50,0.10232399179767601
td_rms,env_energy_ratio_50_150,0.37710184552289816
td_rms,env_energy_ratio_150_300,-0.5817498291182501
td_rms,env_energy_ratio_300_500,-0.2965823650034176
td_std,td_rms,1.0
td_std,td_std,1.0
td_std,td_peak_abs,0.8857142857142857
td_std,td_ptp,0.8964456596035544
td_std,td_skewness,0.24107997265892003
td_std,td_kurtosis,0.37334244702665753
td_std,td_crest_factor,0.22419685577580314
td_std,td_impulse_factor,0.3216678058783322
td_std,td_shape_factor,0.5750512645249487
td_std,td_clearance_factor,0.38086124401913873
td_std,td_zero_cross_rate,-0.16568694463431305
td_std,fd_dominant_hz_0_6k,0.2989785190351109
td_std,fd_centroid_hz_0_6k,0.27621326042378674
td_std,fd_f95_hz_0_6k,-0.11800523883069915
td_std,fd_entropy_0_6k,-0.23267259056732742
td_std,fd_energy_ratio_0_500,-0.6384825700615174
td_std,fd_energy_ratio_500_1500,-0.44012303485987697
td_std,fd_energy_ratio_1500_3000,0.15365686944634313
td_std,fd_energy_ratio_3000_6000,-0.04265208475734791
td_std,env_rms,0.9749145591250854
td_std,env_kurtosis,0.24012303485987696
td_std,env_dominant_hz_0_500,-0.08902842616202361
td_std,env_centroid_hz_0_500,-0.3764866712235133
td_std,env_entropy_0_500,-0.728092959671907
td_std,env_energy_ratio_0_50,0.10232399179767601
td_std,env_energy_ratio_50_150,0.37710184552289816
td_std,env_energy_ratio_150_300,-0.5817498291182501
td_std,env_energy_ratio_300_500,-0.2965823650034176
td_peak_abs,td_rms,0.8857142857142857
td_peak_abs,td_std,0.8857142857142857
td_peak_abs,td_peak_abs,1.0
td_peak_abs,td_ptp,0.9975393028024607
td_peak_abs,td_skewness,0.3229665071770335
td_peak_abs,td_kurtosis,0.6859193438140807
td_peak_abs,td_crest_factor,0.5851674641148326
td_peak_abs,td_impulse_factor,0.6611756664388243
td_peak_abs,td_shape_factor,0.816267942583732
td_peak_abs,td_clearance_factor,0.7121667805878332
td_peak_abs,td_zero_cross_rate,-0.40184552289815445
td_peak_abs,fd_dominant_hz_0_6k,0.23851864675571025
td_peak_abs,fd_centroid_hz_0_6k,0.1355434039644566
td_peak_abs,fd_f95_hz_0_6k,-0.2562936969734576
td_peak_abs,fd_entropy_0_6k,-0.19815447710184553
td_peak_abs,fd_energy_ratio_0_500,-0.5151742993848257
td_peak_abs,fd_energy_ratio_500_1500,-0.3613807245386193
td_peak_abs,fd_energy_ratio_1500_3000,0.25311004784688995
td_peak_abs,fd_energy_ratio_3000_6000,-0.1774436090225564
td_peak_abs,env_rms,0.9467532467532468
td_peak_abs,env_kurtosis,0.5846206425153794
td_peak_abs,env_dominant_hz_0_500,-0.3757417493540735
td_peak_abs,env_centroid_hz_0_500,-0.6708133971291866
td_peak_abs,env_entropy_0_500,-0.5901572112098428
td_peak_abs,env_energy_ratio_0_50,0.417634996582365
td_peak_abs,env_energy_ratio_50_150,0.37737525632262475
td_peak_abs,env_energy_ratio_150_300,-0.7460697197539303
td_peak_abs,env_energy_ratio_300_500,-0.5919343814080656
td_ptp,td_rms,0.8964456596035544
td_ptp,td_std,0.8964456596035544
td_ptp,td_peak_abs,0.9975393028024607
td_ptp,td_ptp,1.0
td_ptp,td_skewness,0.30833902939166097
td_ptp,td_kurtosis,0.6741626794258373
td_ptp,td_crest_factor,0.5626110731373889
td_ptp,td_impulse_factor,0.6451811346548189
td_ptp,td_shape_factor,0.8107997265892003
td_ptp,td_clearance_factor,0.6959671907040328
td_ptp,td_zero_cross_rate,-0.3770334928229665
