pc1,pc2,domain,label,object_id,target_id,explained_variance_pc1,explained_variance_pc2
-25.399398462652826,-1.7835148737660704,source,B,data/raw/source_domain/cwru_48khz_de/B007_0.mat,,0.9797502623501344,0.01300945815456726
-25.443580001714217,-1.868672593542988,source,B,data/raw/source_domain/cwru_48khz_de/B007_1.mat,,0.9797502623501344,0.01300945815456726
-25.457503604322863,-1.842781260228597,source,B,data/raw/source_domain/cwru_48khz_de/B007_2.mat,,0.9797502623501344,0.01300945815456726
-25.45535840120118,-1.8070195963451054,source,B,data/raw/source_domain/cwru_48khz_de/B007_3.mat,,0.9797502623501344,0.01300945815456726
-25.04729100867273,-2.9925911236933342,source,B,data/raw/source_domain/cwru_48khz_de/B014_0.mat,,0.9797502623501344,0.01300945815456726
-24.691085668730267,-3.7645387822817797,source,B,data/raw/source_domain/cwru_48khz_de/B014_1.mat,,0.9797502623501344,0.01300945815456726
-24.300283741665194,-4.4149474690736525,source,B,data/raw/source_domain/cwru_48khz_de/B014_2.mat,,0.9797502623501344,0.01300945815456726
-24.295029843750996,-3.943799966148301,source,B,data/raw/source_domain/cwru_48khz_de/B014_3.mat,,0.9797502623501344,0.01300945815456726
-24.3363219384274,-1.9543575779697495,source,B,data/raw/source_domain/cwru_48khz_de/B021_0.mat,,0.9797502623501344,0.01300945815456726
-24.20324570923686,-3.403299796186971,source,B,data/raw/source_domain/cwru_48khz_de/B021_1.mat,,0.9797502623501344,0.01300945815456726
-22.902206687903202,-3.9664012728864053,source,B,data/raw/source_domain/cwru_48khz_de/B021_2.mat,,0.9797502623501344,0.01300945815456726
-22.701415988912306,-3.7273343945391915,source,B,data/raw/source_domain/cwru_48khz_de/B021_3.mat,,0.9797502623501344,0.01300945815456726
-22.213072554477318,-0.571398471712478,source,IR,data/raw/source_domain/cwru_48khz_de/IR007_0.mat,,0.9797502623501344,0.01300945815456726
-24.22650263065311,-1.3804418052285568,source,IR,data/raw/source_domain/cwru_48khz_de/IR007_1.mat,,0.9797502623501344,0.01300945815456726
-24.210831610009084,-1.4002437795144287,source,IR,data/raw/source_domain/cwru_48khz_de/IR007_2.mat,,0.9797502623501344,0.01300945815456726
-24.284966414125925,-1.1305114711929662,source,IR,data/raw/source_domain/cwru_48khz_de/IR007_3.mat,,0.9797502623501344,0.01300945815456726
-24.729730412471,-3.0705507091564668,source,IR,data/raw/source_domain/cwru_48khz_de/IR014_0.mat,,0.9797502623501344,0.01300945815456726
-23.589851164533062,-4.110158945590679,source,IR,data/raw/source_domain/cwru_48khz_de/IR014_1.mat,,0.9797502623501344,0.01300945815456726
