window_id,group_id,class_label,relative_path,outer_fold,outer_role
WIN-7903ddfdfcd489ea8e7f,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-891173c04174ac17a6fb,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-ab17f14a1876d835f17f,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-eca284a71e0c1ac11041,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-2716e506699e08232ff4,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-7f96935775ac95b47312,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-504f12d19ee97d5f4b97,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-ddf026a9aa9e93933961,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-7d37f2d28f462c58c7ea,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-9635e7302773fb6d7204,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-80cf8cdf1be7194dc98f,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-f5636ea33223eed9d925,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-b8f7e3b7bbb386cf66e0,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-e69b8a5f43efd3e341c0,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-8fddd937f14d9d075c10,source_domain/cwru_12khz_fe/B007_0.mat,B,source_domain/cwru_12khz_fe/B007_0.mat,0,test
WIN-d473bf538145c5cb6764,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-645927b5904522565940,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-d542115139eb558ed2f3,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-278af3809b54154a0f5e,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-e92d52863a4e0f15de93,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-e4e32ea1ca545610d69e,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-f70b348fbf07a3e841c9,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-2d6addfdc68ea4b01135,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-cc2d1358a3ab2b7ee442,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-8ce4a63029b888f10682,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-e3f967093ebd831492ce,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-c932afcccfe487deef11,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-ca596ac1d7ec980606e5,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-ee38cce142716519a1ef,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-95891b5a79c5a82166e5,source_domain/cwru_12khz_fe/B007_1.mat,B,source_domain/cwru_12khz_fe/B007_1.mat,0,train_pool
WIN-bed73ae248b507641f53,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-ca1b4f5413162000e2fb,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-4efaf5f5787c4d068504,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-2b5daa9a57e8986f6af4,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-17ffaa42ab4e1a7a0bf2,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-c8d2aba8f8ee0fe3a0ce,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-a3baec2d813e5b5bf25b,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-b2c0b1e6ee7c316790e6,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-c2ffe1f0417325d8f0d4,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-95387c7be4fc1e44a8da,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-691dcda830149b752ed4,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-17d94a9334029dfa613a,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-ce1088821854c23b82d0,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-493587db7c0f397b1294,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-5759020dae18cf676691,source_domain/cwru_12khz_fe/B007_2.mat,B,source_domain/cwru_12khz_fe/B007_2.mat,0,train_pool
WIN-48bfb74691fab45b7368,source_domain/cwru_12khz_fe/B007_3.mat,B,source_domain/cwru_12khz_fe/B007_3.mat,0,test
WIN-329a0ec73e2cb6f6befe,source_domain/cwru_12khz_fe/B007_3.mat,B,source_domain/cwru_12khz_fe/B007_3.mat,0,test
WIN-b5f69035b70f0781318b,source_domain/cwru_12khz_fe/B007_3.mat,B,source_domain/cwru_12khz_fe/B007_3.mat,0,test
