sample_id,stage,time_s,value
OR_typical_OR021@3_3,raw_native,0.0,0.042323886431406936
OR_typical_OR021@3_3,raw_native,8.333333333333333e-05,-0.0006018278543073559
OR_typical_OR021@3_3,raw_native,0.00016666666666666666,0.09988336695088747
OR_typical_OR021@3_3,raw_native,0.00025,0.0003737565612770598
OR_typical_OR021@3_3,raw_native,0.0003333333333333333,-0.2792937759062554
OR_typical_OR021@3_3,raw_native,0.0004166666666666667,-0.10669663304911256
OR_typical_OR021@3_3,raw_native,0.0005,0.029641289028809532
OR_typical_OR021@3_3,raw_native,0.0005833333333333334,-0.10466416551664504
OR_typical_OR021@3_3,raw_native,0.0006666666666666666,-0.03702364603612554
OR_typical_OR021@3_3,raw_native,0.00075,0.1769545357820563
OR_typical_OR021@3_3,raw_native,0.0008333333333333334,0.16386544487296537
OR_typical_OR021@3_3,raw_native,0.0009166666666666666,0.07598154876906928
OR_typical_OR021@3_3,raw_native,0.001,0.25020466565218613
OR_typical_OR021@3_3,raw_native,0.0010833333333333333,0.14199609422361473
OR_typical_OR021@3_3,raw_native,0.0011666666666666668,-0.22368546421794375
OR_typical_OR021@3_3,raw_native,0.00125,0.10134674357426408
OR_typical_OR021@3_3,raw_native,0.0013333333333333333,0.07655063967816018
OR_typical_OR021@3_3,raw_native,0.0014166666666666668,-0.11580208759456712
OR_typical_OR021@3_3,raw_native,0.0015,0.1139480422755628
OR_typical_OR021@3_3,raw_native,0.0015833333333333333,0.1219153150028355
OR_typical_OR021@3_3,raw_native,0.0016666666666666668,0.018096873444393945
OR_typical_OR021@3_3,raw_native,0.00175,-0.013690918763398268
OR_typical_OR021@3_3,raw_native,0.0018333333333333333,-0.022715074607554113
OR_typical_OR021@3_3,raw_native,0.0019166666666666666,-0.2510018278543074
OR_typical_OR021@3_3,raw_native,0.002,-0.044665723958203465
OR_typical_OR021@3_3,raw_native,0.0020833333333333333,0.06858336695088746
OR_typical_OR021@3_3,raw_native,0.0021666666666666666,0.042892977340497844
OR_typical_OR021@3_3,raw_native,0.00225,0.11224076954829007
OR_typical_OR021@3_3,raw_native,0.0023333333333333335,0.0273649253924459
OR_typical_OR021@3_3,raw_native,0.002416666666666667,0.13093947084699137
OR_typical_OR021@3_3,raw_native,0.0025,0.10500518513270564
OR_typical_OR021@3_3,raw_native,0.0025833333333333333,-0.04393403564651515
OR_typical_OR021@3_3,raw_native,0.0026666666666666666,-0.0780794901919697
OR_typical_OR021@3_3,raw_native,0.00275,0.09581843188595239
OR_typical_OR021@3_3,raw_native,0.0028333333333333335,0.0525675227950433
OR_typical_OR021@3_3,raw_native,0.002916666666666667,-0.02775559408807359
OR_typical_OR021@3_3,raw_native,0.003,0.21792908123660176
OR_typical_OR021@3_3,raw_native,0.0030833333333333333,-0.1028755940880736
OR_typical_OR021@3_3,raw_native,0.0031666666666666666,-0.03027585382833333
OR_typical_OR021@3_3,raw_native,0.00325,0.2134576526651732
OR_typical_OR021@3_3,raw_native,0.0033333333333333335,-0.17645091876339827
OR_typical_OR021@3_3,raw_native,0.003416666666666667,-0.17978416551664506
OR_typical_OR021@3_3,raw_native,0.0035,0.06622570461322512
OR_typical_OR021@3_3,raw_native,0.0035833333333333333,-0.056454035646515154
OR_typical_OR021@3_3,raw_native,0.0036666666666666666,-0.08100624343872294
OR_typical_OR021@3_3,raw_native,0.00375,0.17630414617166668
OR_typical_OR021@3_3,raw_native,0.003833333333333333,0.029559990327510832
OR_typical_OR021@3_3,raw_native,0.003916666666666666,-0.05051923045170996
OR_typical_OR021@3_3,raw_native,0.004,0.12435427604179655
OR_typical_OR021@3_3,raw_native,0.004083333333333333,-0.04864936032183982
OR_typical_OR021@3_3,raw_native,0.004166666666666667,-0.08929871097119048
OR_typical_OR021@3_3,raw_native,0.00425,-0.03930000967248918
OR_typical_OR021@3_3,raw_native,0.004333333333333333,-0.00393507460755411
OR_typical_OR021@3_3,raw_native,0.004416666666666667,-0.024584944737424244
OR_typical_OR021@3_3,raw_native,0.0045,0.08638778253530305
OR_typical_OR021@3_3,raw_native,0.004583333333333333,0.011836873444393945
OR_typical_OR021@3_3,raw_native,0.004666666666666667,-0.21189715252963204
OR_typical_OR021@3_3,raw_native,0.00475,0.0524049253924459
OR_typical_OR021@3_3,raw_native,0.004833333333333334,-0.02336546421794372
OR_typical_OR021@3_3,raw_native,0.004916666666666666,-0.16344312655560608
OR_typical_OR021@3_3,raw_native,0.005,-0.10198130837378788
OR_typical_OR021@3_3,raw_native,0.005083333333333333,-0.03921871097119048
OR_typical_OR021@3_3,raw_native,0.005166666666666667,-0.1404355940880736
OR_typical_OR021@3_3,raw_native,0.00525,-0.171085204477684
OR_typical_OR021@3_3,raw_native,0.005333333333333333,0.014926224093744592
OR_typical_OR021@3_3,raw_native,0.005416666666666667,-0.09311974993222945
OR_typical_OR021@3_3,raw_native,0.0055,0.04760830201582252
OR_typical_OR021@3_3,raw_native,0.005583333333333333,0.10606206824958876
OR_typical_OR021@3_3,raw_native,0.005666666666666667,0.08744466565218616
OR_typical_OR021@3_3,raw_native,0.00575,0.08752596435348486
OR_typical_OR021@3_3,raw_native,0.005833333333333334,-0.033446503178982685
OR_typical_OR021@3_3,raw_native,0.005916666666666666,0.06638830201582252
OR_typical_OR021@3_3,raw_native,0.006,0.003219211106731606
OR_typical_OR021@3_3,raw_native,0.006083333333333333,-0.11702156811404762
OR_typical_OR021@3_3,raw_native,0.006166666666666667,-0.14409403564651516
OR_typical_OR021@3_3,raw_native,0.00625,0.0462262240937446
OR_typical_OR021@3_3,raw_native,0.006333333333333333,-0.11588338629586581
OR_typical_OR021@3_3,raw_native,0.006416666666666667,-0.15254910058158008
OR_typical_OR021@3_3,raw_native,0.0065,0.20321401630153682
OR_typical_OR021@3_3,raw_native,0.006583333333333333,-0.05637273694521645
OR_typical_OR021@3_3,raw_native,0.006666666666666667,-0.10750962006209958
OR_typical_OR021@3_3,raw_native,0.00675,0.1764667435742641
OR_typical_OR021@3_3,raw_native,0.006833333333333334,0.010373496821017321
OR_typical_OR021@3_3,raw_native,0.0069166666666666664,-0.02149559408807359
OR_typical_OR021@3_3,raw_native,0.007,0.11541141889893941
OR_typical_OR021@3_3,raw_native,0.007083333333333333,-0.021739490191969697
