bootstrap_seed,replicate,replicate_global,target_id,official_label,bootstrap_label,same_official,top_score,margin
20260919,0,0,A,OR,OR,True,0.6462599639164145,0.3634088167217179
20260919,0,0,B,B,B,True,0.5268937728937729,0.11956532356532357
20260919,0,0,C,OR,OR,True,0.5802222222222222,0.19755555555555554
20260919,0,0,D,OR,B,False,0.47374143571489113,0.02335324180015258
20260919,0,0,E,B,OR,False,0.5559999999999999,0.15799999999999997
20260919,0,0,F,OR,OR,True,0.5783201569439987,0.22330698055466425
20260919,0,0,G,B,B,True,0.5244444444444445,0.11377777777777781
20260919,0,0,H,OR,OR,True,0.7295086696241636,0.5333981224691364
20260919,0,0,I,B,OR,False,0.5004444444444445,0.043777777777777804
20260919,0,0,J,B,OR,False,0.5502222222222223,0.13177777777777783
20260919,0,0,K,OR,OR,True,0.6795221207999347,0.48297515697119936
20260919,0,0,L,B,B,True,0.5136456429143528,0.0892912858287056
20260919,0,0,M,OR,OR,True,0.6823656097409846,0.48843991263107694
20260919,0,0,N,OR,OR,True,0.6005343383711804,0.24840201007569424
20260919,0,0,O,B,B,True,0.5473333333333333,0.16666666666666669
20260919,0,0,P,B,B,True,0.5976233833375709,0.27245047037884557
20260919,1,1,A,OR,OR,True,0.49535235048914744,0.10070470097829493
20260919,1,1,B,B,B,True,0.6253714772243508,0.41918246062154113
20260919,1,1,C,OR,B,False,0.6920000000000001,0.4884444444444445
20260919,1,1,D,OR,B,False,0.6336481481481482,0.38062962962962965
20260919,1,1,E,B,B,True,0.6571111111111112,0.4271111111111112
20260919,1,1,F,OR,B,False,0.4659497440021291,0.02989948800425818
20260919,1,1,G,B,B,True,0.579353086419753,0.4029086419753086
20260919,1,1,H,OR,OR,True,0.632316880296921,0.38433252602594087
20260919,1,1,I,B,B,True,0.7415555555555555,0.5677777777777777
20260919,1,1,J,B,B,True,0.7017777777777778,0.4973333333333334
20260919,1,1,K,OR,OR,True,0.6699811202442781,0.500628907155223
20260919,1,1,L,B,B,True,0.6152658501871232,0.37752923123844384
20260919,1,1,M,OR,OR,True,0.5657688218214535,0.3390931991984625
20260919,1,1,N,OR,B,False,0.5833145680246453,0.2576612348147227
20260919,1,1,O,B,B,True,0.5711392212725546,0.35136144349477677
20260919,1,1,P,B,B,True,0.6861111111111112,0.4877777777777779
20260919,2,2,A,OR,OR,True,0.5021558265582656,0.23759611176325673
20260919,2,2,B,B,OR,False,0.3493944595001505,0.0026819671286433255
20260919,2,2,C,OR,B,False,0.44222222222222224,0.05688888888888888
20260919,2,2,D,OR,B,False,0.4519717516307665,0.1462809958343197
20260919,2,2,E,B,B,True,0.49133333333333334,0.13555555555555554
20260919,2,2,F,OR,OR,True,0.4840206263173743,0.19904541187420188
20260919,2,2,G,B,B,True,0.3333044827358553,0.05361312471116392
20260919,2,2,H,OR,OR,True,0.5147499326455253,0.2166346622949608
20260919,2,2,I,B,B,True,0.5208888888888888,0.1771111111111111
20260919,2,2,J,B,B,True,0.4742222222222222,0.11133333333333334
20260919,2,2,K,OR,OR,True,0.5026858677105289,0.1983823972763395
20260919,2,2,L,B,OR,False,0.38214754591990363,0.051299251079260644
20260919,2,2,M,OR,OR,True,0.44933166664025315,0.10304360079663172
20260919,2,2,N,OR,OR,True,0.4171421860885276,0.10113048031728095
