group_id,domain,pc1,pc2
source_domain/cwru_12khz_fe/B007_0.mat,source,-20.062485821263948,-4.012849029175248
source_domain/cwru_12khz_fe/B007_1.mat,source,-21.032255815496583,-2.8692662855092768
source_domain/cwru_12khz_fe/B007_2.mat,source,-20.92394468256091,-2.8632496998226844
source_domain/cwru_12khz_fe/B007_3.mat,source,-20.839123263549958,-3.1741600316522036
source_domain/cwru_12khz_fe/B014_0.mat,source,-18.495907044626644,-4.014888771854566
source_domain/cwru_12khz_fe/B014_1.mat,source,-19.113904316433906,-4.316129058936692
source_domain/cwru_12khz_fe/B014_2.mat,source,-17.946507984686193,-2.822474276628638
source_domain/cwru_12khz_fe/B014_3.mat,source,-18.847773872585975,-3.6232305237614364
source_domain/cwru_12khz_fe/B021_0.mat,source,-19.74418563882564,-4.407899090500763
source_domain/cwru_12khz_fe/B021_1.mat,source,-19.731334265512924,-4.183073017282686
source_domain/cwru_12khz_fe/B021_2.mat,source,-19.681476230992796,-4.1275048965696515
source_domain/cwru_12khz_fe/B021_3.mat,source,-20.062273871205015,-3.3041985667874356
source_domain/cwru_12khz_fe/IR007_0.mat,source,-19.135715846461874,-2.6537509803843378
source_domain/cwru_12khz_fe/IR007_1.mat,source,-19.520731857115795,-2.7124575426467414
source_domain/cwru_12khz_fe/IR007_2.mat,source,-19.56358818223212,-2.6460348523430155
source_domain/cwru_12khz_fe/IR007_3.mat,source,-19.4895012694831,-2.414056680328089
source_domain/cwru_12khz_fe/IR014_0.mat,source,-20.159329669647548,-2.7024868666269453
source_domain/cwru_12khz_fe/IR014_1.mat,source,-20.589517498207666,-2.6797705436214323
source_domain/cwru_12khz_fe/IR014_2.mat,source,-20.70210211756045,-2.720752766757387
source_domain/cwru_12khz_fe/IR014_3.mat,source,-20.607999255129766,-2.663700627579301
source_domain/cwru_12khz_fe/IR021_0.mat,source,-18.39589167142981,-2.6248405768793392
source_domain/cwru_12khz_fe/IR021_1.mat,source,-18.832943064235433,-2.660606773685776
source_domain/cwru_12khz_fe/IR021_2.mat,source,-19.08460091513786,-2.1366165365634737
source_domain/cwru_12khz_fe/IR021_3.mat,source,-19.151101266202296,-2.1861373404996507
source_domain/cwru_12khz_fe/OR007@12_0.mat,source,-21.241526278903486,-2.596570363277821
source_domain/cwru_12khz_fe/OR007@12_1.mat,source,-20.45542480000952,-3.008674373305576
source_domain/cwru_12khz_fe/OR007@12_2.mat,source,-20.63831602121457,-2.7232416440025555
source_domain/cwru_12khz_fe/OR007@12_3.mat,source,-20.840220093742747,-2.5119407425233047
source_domain/cwru_12khz_fe/OR007@3_0.mat,source,-21.555743761349895,-2.826167320533471
source_domain/cwru_12khz_fe/OR007@3_1.mat,source,-21.556821851528014,-2.8804951579722036
source_domain/cwru_12khz_fe/OR007@3_2.mat,source,-21.500428351793335,-2.7224571783917595
source_domain/cwru_12khz_fe/OR007@3_3.mat,source,-21.160651341703463,-2.3563308568455845
source_domain/cwru_12khz_fe/OR007@6_0.mat,source,-16.549916042335184,-3.2745812595929227
source_domain/cwru_12khz_fe/OR007@6_1.mat,source,-17.446514315917163,-3.6444990964725936
source_domain/cwru_12khz_fe/OR007@6_2.mat,source,-17.436263897501725,-3.755571357228077
source_domain/cwru_12khz_fe/OR007@6_3.mat,source,-17.299707124482094,-3.7710959670174047
source_domain/cwru_12khz_fe/OR014@3_0.mat,source,-16.871555833547877,-2.9415393827540006
source_domain/cwru_12khz_fe/OR014@3_1.mat,source,-18.749173835921983,-2.74564853439326
source_domain/cwru_12khz_fe/OR014@3_2.mat,source,-17.275883013007743,-2.5030520629932624
source_domain/cwru_12khz_fe/OR014@3_3.mat,source,-13.60914863471264,-1.2216793983824246
source_domain/cwru_12khz_fe/OR014@6_0.mat,source,-11.880579486417599,0.7867623039555864
source_domain/cwru_12khz_fe/OR021@3_1.mat,source,-20.4494796159918,-2.2095225585755287
source_domain/cwru_12khz_fe/OR021@3_2.mat,source,-20.91502911722552,-2.685981426733976
source_domain/cwru_12khz_fe/OR021@3_3.mat,source,-20.772305171413677,-2.5771307842877795
source_domain/cwru_12khz_fe/OR021@6_0.mat,source,-11.784733318366197,-0.9417412984568823
source_domain/cwru_48khz_normal/N_0.mat,source,-21.955917492062227,-3.059851408812955
source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,source,-21.990312136091596,-2.7882448041138215
source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,source,-21.98537642953661,-2.742024495900387
source_domain/cwru_48khz_normal/N_3.mat,source,-21.885677285269555,-2.7383188279155197
target_domain/train_bearing_a_to_p/A.mat,target,10.066857442371234,17.362517638479563
target_domain/train_bearing_a_to_p/B.mat,target,-8.996644595372235,3.71899062315994
target_domain/train_bearing_a_to_p/C.mat,target,161.8718206115466,-19.56619642951004
target_domain/train_bearing_a_to_p/D.mat,target,32.65020296139251,28.96649777611065
target_domain/train_bearing_a_to_p/E.mat,target,104.37406308378067,-18.00731908618838
target_domain/train_bearing_a_to_p/F.mat,target,23.36005482881043,13.234522873613132
target_domain/train_bearing_a_to_p/G.mat,target,-7.0535773254882415,3.78895807840595
target_domain/train_bearing_a_to_p/H.mat,target,58.68691603657008,35.944152122467464
target_domain/train_bearing_a_to_p/I.mat,target,186.79283635581336,-12.290921461900275
target_domain/train_bearing_a_to_p/J.mat,target,173.86515797063458,-31.875561274600816
target_domain/train_bearing_a_to_p/K.mat,target,67.06194063823737,39.48880574710903
target_domain/train_bearing_a_to_p/L.mat,target,-8.442214766993299,4.6658637565411905
target_domain/train_bearing_a_to_p/M.mat,target,67.63070925538838,42.322882254475125
target_domain/train_bearing_a_to_p/N.mat,target,55.71628773988243,3.3859740606345725
target_domain/train_bearing_a_to_p/O.mat,target,-8.04053801778895,2.123803882677057
target_domain/train_bearing_a_to_p/P.mat,target,39.97702845184561,25.696762771450054
