feature,family,source_mean,source_sd,target_mean,target_sd,standardized_mean_shift,abs_standardized_mean_shift,wasserstein_over_source_sd,ks_statistic,ks_pvalue_descriptive_only
peak_abs,amplitude_or_scale,1.559314702556935,1.1318044420212177,44.34907882900768,47.61474382996087,37.80667625763619,37.80667625763619,37.806676257636184,0.9795918367346939,5.246541651109411e-14
peak_to_peak,amplitude_or_scale,2.9875877560614406,2.160522283211438,81.05321573686663,84.79191917413243,36.132757614870364,36.132757614870364,36.132757614870364,1.0,3.0862009712408306e-15
mean_abs,amplitude_or_scale,0.16258209535801096,0.10738575842172651,3.822705175164363,2.25258969295767,34.08387791453944,34.08387791453944,34.08387791453944,1.0,3.0862009712408306e-15
std,amplitude_or_scale,0.23850337995645507,0.1810857624654014,5.152569096611132,3.216389259840946,27.136676289465704,27.136676289465704,27.136676289465704,1.0,3.0862009712408306e-15
envelope_rms,amplitude_or_scale,0.33729448123415073,0.2560939848729846,7.286833069675939,4.548661289573372,27.136672467682374,27.136672467682374,27.13667246768237,1.0,3.0862009712408306e-15
rms,amplitude_or_scale,0.23852173608796529,0.18114837737194373,5.152621070474446,3.2163964539802503,27.12748193320321,27.12748193320321,27.127481933203214,1.0,3.0862009712408306e-15
spectral_flatness,geometry_free_mechanism_proxy,0.0964447899768764,0.05151031795681718,0.47113596884251197,0.10299387250096172,7.2740995149700245,7.2740995149700245,7.2740995149700245,1.0,3.0862009712408306e-15
band_ratio_1500_3000,geometry_free_mechanism_proxy,0.09583475110473014,0.0624794681453552,0.42809086792945966,0.0876816736229232,5.31784483266972,5.31784483266972,5.31784483266972,0.9795918367346939,5.246541651109411e-14
mean,amplitude_or_scale,-1.5567805827852788e-05,6.620041943003272e-05,0.0001667331945443359,0.0011638901722905914,2.7537740990427224,2.7537740990427224,13.157079211202308,0.5012755102040817,0.0029050731486456693
spectral_entropy,geometry_free_mechanism_proxy,0.7197195240496957,0.06502983815934493,0.8883312270626824,0.05746194902090975,2.592835962467435,2.592835962467435,2.5928359624674346,0.8125,1.502898088668546e-08
rolloff95_hz,geometry_free_mechanism_proxy,4092.93119797261,397.96008018997856,5084.5458984375,120.95285139146135,2.4917441467785215,2.4917441467785215,2.491744146778521,0.9591836734693877,4.72188748599847e-13
band_ratio_3000_5500,geometry_free_mechanism_proxy,0.6853679700269499,0.16368497957759442,0.3795482771956098,0.12173524255097624,-1.8683430429630052,1.8683430429630052,1.8683430429630052,0.7729591836734694,1.290658844257936e-07
envelope_spectral_entropy,geometry_free_mechanism_proxy,0.7087398984999622,0.13437518032373538,0.8715973911737646,0.07276502937894373,1.2119611097931005,1.2119611097931005,1.2119611097931013,0.6326530612244898,3.164567461492464e-05
dominant_frequency_hz,geometry_free_mechanism_proxy,2822.8156887755104,1166.7973617782366,1867.19970703125,1263.4989144351161,-0.819007664096764,0.819007664096764,0.8909896240502787,0.5688775510204082,0.0003537407213100247
shape_factor,amplitude_or_scale,1.4024090074490185,0.14113006885494225,1.320396633758811,0.09898013692100305,-0.5811119795775231,0.5811119795775231,0.5966092308154627,0.4642857142857143,0.007184208636247541
spectral_centroid_hz,geometry_free_mechanism_proxy,2940.69682028392,398.82193466007124,2734.979509037198,463.2021954245648,-0.5158124299809668,0.5158124299809668,0.6922592737002242,0.4005102040816326,0.03139254893921101
zero_cross_rate,geometry_free_mechanism_proxy,0.4893680094537058,0.05257130578487556,0.4655026807789538,0.06985758299262511,-0.45396111659105687,0.45396111659105687,0.6509947966001922,0.4005102040816326,0.03139254893921101
crest_factor,amplitude_or_scale,6.406917795966785,2.012548663417518,7.1474724077290475,4.186281849222989,0.3679685491454022,0.3679685491454022,0.9054887908511606,0.4005102040816326,0.03139254893921101
spectral_rms_hz,geometry_free_mechanism_proxy,3160.532858991863,293.18563564601345,3069.2761044786175,409.0540392380498,-0.31125929587978585,0.31125929587978585,0.6380384737204865,0.28061224489795916,0.23995916908923948
band_ratio_500_1500,geometry_free_mechanism_proxy,0.17043791222505134,0.13586896081802063,0.12951314995130542,0.07586263185597385,-0.30120759022039983,0.30120759022039983,0.4572167268835676,0.2627551020408163,0.3012755391369294
band_ratio_0_500,geometry_free_mechanism_proxy,0.0480899078206292,0.06489569374817429,0.06269690700159186,0.08052760186829755,0.22508425963739084,0.22508425963739084,0.3105227481940726,0.3673469387755102,0.051652293761671006
skewness,shape_statistics,0.03862594386659498,0.09810491050201596,0.018534123205988517,0.16053751538102354,-0.20479933733993463,0.20479933733993463,0.5624948568839055,0.32142857142857145,0.12777405499942598
envelope_kurtosis,geometry_free_mechanism_proxy,11.067995358685696,9.229022911346046,12.935983187906842,14.339145642028226,0.2024036398181074,0.2024036398181074,0.576363335659147,0.48341836734693877,0.004673442686044736
impulse_factor,amplitude_or_scale,9.168224391785598,3.4186621841550875,9.790805700750786,6.572225670391723,0.1821125561486436,0.1821125561486436,0.8015934608755162,0.42091836734693877,0.02048146776658177
clearance_factor,amplitude_or_scale,11.525301287973523,4.604501305904725,11.915040554551734,8.325371889898397,0.08464310045442196,0.08464310045442196,0.7261418550279474,0.42091836734693877,0.02048146776658177
kurtosis,shape_statistics,7.736873041369677,4.594930386818288,7.502163030585356,7.458846760732069,-0.051080210367853526,0.051080210367853526,0.5752356469479679,0.48341836734693877,0.004673442686044736
